club,city,website,kind,value,domain_match,reasons
ACE Hoops (Ace Hoops Vernon),Vernon,https://acehoops.net/,email,you@email.com,n,placeholder
Albany Avenue Basketball,,https://albanyavenuebasketball.ca/,email,coachloucks@albanyavenuebasketball.ca,Y,governing-body
Ancaster Basketball Club (Magic),,http://ancastermagic.pointstreaksites.com/view/ancastermagic/home-page-657,phone,866-892-0777,,shared-by-2-clubs
Athelite Basketball,Surrey,http://www.athelitebasketball.com,phone,460-081-4554,,invalid-format;shared-by-8-clubs
BGC Prince County - Summerside Club (Boys & Girls Club),Summerside,https://www.facebook.com/bgcsummerside/,phone,940-333-7390,,shared-by-5-clubs
Battlefords Jr. NBA community program (SKY Basketball),North Battleford,https://leagues.teamlinkt.com/skybasketball/Communities,phone,306-780-9264,,shared-by-26-clubs
Biggar Jr. NBA community program (SKY Basketball),Biggar,https://leagues.teamlinkt.com/skybasketball/Communities,phone,306-780-9264,,shared-by-26-clubs
CODE,Whitby,codeprep.ca,phone,259-891-1325,,shared-by-2-clubs
Canadian Basketball Academy,Toronto,https://www.canadianbballacademy.com/,email,admin@canadabasketball.com,n,governing-body
Carleton North Minor Basketball Association,Florenceville-Bristol,https://www.facebook.com/share/1CY9UV55im/?mibextid=wwXIfr,phone,940-333-7390,,shared-by-5-clubs
Carrot River Jr. NBA community program (SKY Basketball),Carrot River,https://leagues.teamlinkt.com/skybasketball/Communities,phone,306-780-9264,,shared-by-26-clubs
Chatham Youth Basketball Association,Chatham,https://www.chathamyba.org/,email,chathamyba@gmail.com,n,
Christian Youth Basketball League (CYBL),Barrie & Kingston,https://www.cyblbasketball.ca/,email,info@cyblbasketball.ca,Y,governing-body
Christopher Lake Jr. NBA community program (SKY Basketball),Christopher Lake,https://leagues.teamlinkt.com/skybasketball/Communities,phone,306-780-9264,,shared-by-26-clubs
Climb Basketball Academy,Edmonton,https://www.climbbasketball.ca/home,email,info@climbbasketball.ca,Y,governing-body
Corner Brook Shooting Stars Basketball Club,Corner Brook,https://www.facebook.com/CornerBrookMinorBasketball/,phone,940-333-7390,,shared-by-5-clubs
County Clippers,"Eli Carlone, rep",https://www.countyclippers.ca/,phone,460-081-4554,,invalid-format;shared-by-8-clubs
Crunch Time Basketball (Ignite),Markham/Unionville/Stouffville/Richmond Hill/Newmarket/Aurora,https://www.crunchtimebasketball.ca/,email,nathan@crunchtimebasketball.ca,Y,governing-body;shared-by-2-clubs
Crunch Time Basketball (Ignite),Markham/Unionville/Stouffville/Richmond Hill/Newmarket/Aurora,https://www.crunchtimebasketball.ca/,phone,416-795-5986,,shared-by-2-clubs
Crunch Time Elite,,https://www.crunchtimebasketball.ca/,email,nathan@crunchtimebasketball.ca,Y,governing-body;shared-by-2-clubs
Crunch Time Elite,,https://www.crunchtimebasketball.ca/,phone,416-795-5986,,shared-by-2-clubs
Cumberland House Jr. NBA community program (SKY Basketball),Cumberland House,https://leagues.teamlinkt.com/skybasketball/Communities,phone,306-780-9264,,shared-by-26-clubs
Dundurn Jr. NBA community program (SKY Basketball),Dundurn,https://leagues.teamlinkt.com/skybasketball/Communities,phone,306-780-9264,,shared-by-26-clubs
Durham Force,,https://durhamsportsplex.com/durham-force/,email,durahmsportsplex@gmail.com,n,
GBU (Gwillimbury United),E/W Gwillimbury-Newmarket ON,gbunited.ca,phone,534-864-3784,,shared-by-14-clubs
Gloucester Cumberland Basketball Association (Wolverines),Ottawa (Gloucester/Cumberland/Orleans),https://gcba.ca/,email,g_cbasketball@yahoo.ca,n,
Gold Medal Basketball Club,,http://www.goldmedal.on.ca/|,email,mattscott307@gmail.com,n,
Gwillimbury Basketball United,East Gwillimbury,gbunited.ca,phone,534-864-3784,,shared-by-14-clubs
Hafford Jr. NBA community program (SKY Basketball),Hafford,https://leagues.teamlinkt.com/skybasketball/Communities,phone,306-780-9264,,shared-by-26-clubs
Hudson Bay Jr. NBA community program (SKY Basketball),Hudson Bay,https://leagues.teamlinkt.com/skybasketball/Communities,phone,306-780-9264,,shared-by-26-clubs
Kelvington Jr. NBA community program (SKY Basketball),Kelvington,https://leagues.teamlinkt.com/skybasketball/Communities,phone,306-780-9264,,shared-by-26-clubs
Kemptville,Kemptville,https://www.kemptvillewarriors.ca/,phone,534-864-3784,,shared-by-14-clubs
Kemptville Warriors,,https://www.kemptvillewarriors.ca/,phone,534-864-3784,,shared-by-14-clubs
Kindersley Jr. NBA community program (SKY Basketball),Kindersley,https://leagues.teamlinkt.com/skybasketball/Communities,phone,306-780-9264,,shared-by-26-clubs
Langham Jr. NBA community program (SKY Basketball),Langham,https://leagues.teamlinkt.com/skybasketball/Communities,phone,306-780-9264,,shared-by-26-clubs
Legends Basketball (YYC),Calgary,https://www.facebook.com/legendsbasketball.yyc/,phone,940-333-7390,,shared-by-5-clubs
Level Up Camps (Sherwood Park basketball camps),Sherwood Park,https://www.levelupcamps.ca/,email,craig.levelupcamps@gmail.com,n,
Little Hoopers (New Tecumseth Jr NBA Basketball Program),Alliston,https://www.littlehoopers.ca/,email,littlehoopersnt@gmail.com,n,
London 86ers,London,https://www.london86ers.com/,email,thereallondon86ers@gmail.com,n,
Luseland Jr. NBA community program (SKY Basketball),Luseland,https://leagues.teamlinkt.com/skybasketball/Communities,phone,306-780-9264,,shared-by-26-clubs
Meadow Lake Jr. NBA community program (SKY Basketball),Meadow Lake,https://leagues.teamlinkt.com/skybasketball/Communities,phone,306-780-9264,,shared-by-26-clubs
Melfort/Kinistino Jr. NBA community program (SKY Basketball),Melfort,https://leagues.teamlinkt.com/skybasketball/Communities,phone,306-780-9264,,shared-by-26-clubs
Next Level Basketball (NextLevel Sports Academy / Cowichan Valley Basketball),Duncan,https://www.cowichanvalleybasketball.com/,phone,309-786-5384,,shared-by-5-clubs
Nipawin Jr. NBA community program (SKY Basketball),Nipawin,https://leagues.teamlinkt.com/skybasketball/Communities,phone,306-780-9264,,shared-by-26-clubs
NuStep Basketball,,https://nustepbasketball.ca/,email,info@nustep.ca,n,
Nunavut Basketball Association (NUBA),Iqaluit,https://www.nunavutbasketball.ca,phone,460-081-4554,,invalid-format;shared-by-8-clubs
Outlook Jr. NBA community program (SKY Basketball),Outlook,https://leagues.teamlinkt.com/skybasketball/Communities,phone,306-780-9264,,shared-by-26-clubs
PA Thunder Basketball Club,Prince Albert,https://www.facebook.com/thunderbball306/,phone,940-333-7390,,shared-by-5-clubs
Paradise Hill Jr. NBA community program (SKY Basketball),Paradise Hill,https://leagues.teamlinkt.com/skybasketball/Communities,phone,306-780-9264,,shared-by-26-clubs
Peterborough City Basketball Club,Peterborough,https://www.peterboroughcitybasketball.com,phone,309-786-5384,,shared-by-5-clubs
Porcupine Plain Jr. NBA community program (SKY Basketball),Porcupine Plain,https://leagues.teamlinkt.com/skybasketball/Communities,phone,306-780-9264,,shared-by-26-clubs
Port Elgin Minor Basketball Association (PEMBA),Port Elgin,http://pemba.pointstreaksites.com/view/pemba/,phone,866-892-0777,,shared-by-2-clubs
Prince Edward County Clippers,Prince Edward County,https://www.countyclippers.ca/,phone,460-081-4554,,invalid-format;shared-by-8-clubs
"RISE Basketball / RISE Sports Complex (Team Rise Collective Inc., 'Rise Up Hoops')",Calgary,https://www.rise-basketball.com/,email,info@risesportscomplex.com,n,shared-by-2-clubs
"RISE Basketball / RISE Sports Complex (Team Rise Collective Inc., 'Rise Up Hoops')",Calgary,https://www.rise-basketball.com/,phone,587-899-7473,,shared-by-2-clubs
Rapid View Jr. NBA community program (SKY Basketball),Rapid View,https://leagues.teamlinkt.com/skybasketball/Communities,phone,306-780-9264,,shared-by-26-clubs
Rise Basketball,Toronto/GTA,https://www.rise-basketball.com/,email,info@risesportscomplex.com,n,shared-by-2-clubs
Rosetown Jr. NBA community program (SKY Basketball),Rosetown,https://leagues.teamlinkt.com/skybasketball/Communities,phone,306-780-9264,,shared-by-26-clubs
Rosthern Jr. NBA community program (SKY Basketball),Rosthern,https://leagues.teamlinkt.com/skybasketball/Communities,phone,306-780-9264,,shared-by-26-clubs
Sandy Bay Jr. NBA community program (SKY Basketball),Sandy Bay,https://leagues.teamlinkt.com/skybasketball/Communities,phone,306-780-9264,,shared-by-26-clubs
Shoot 360 Regina,Regina,https://www.shoot360.com/regina,email,info@shoot360regina.com,n,
South Calgary Community Basketball Association (SoCal / SCCBA),Calgary,https://sccba.ca,phone,502-067-3322,,invalid-format
St. Lawrence Lightning (JUEL),Brockville/Kingston ON,stlawrencelightning.ca,phone,460-081-4554,,invalid-format;shared-by-8-clubs
St. Walburg Jr. NBA community program (SKY Basketball),St. Walburg,https://leagues.teamlinkt.com/skybasketball/Communities,phone,306-780-9264,,shared-by-26-clubs
Steel City Slam,,https://www.steelcityslam.ca/,phone,534-864-3784,,shared-by-14-clubs
Tecumseh Saints Basketball Association,Tecumseh,https://www.tecumsehsaintsbasketball.com/,phone,460-081-4554,,invalid-format;shared-by-8-clubs
The Collective Elite Basketball Association,,https://www.thecollectiveelite.ca/,phone,655-149-4781,,invalid-format
Tisdale Jr. NBA community program (SKY Basketball),Tisdale,https://leagues.teamlinkt.com/skybasketball/Communities,phone,306-780-9264,,shared-by-26-clubs
Turtleford Jr. NBA community program (SKY Basketball),Turtleford,https://leagues.teamlinkt.com/skybasketball/Communities,phone,306-780-9264,,shared-by-26-clubs
Twin City Spinners Wheelchair Basketball,Kitchener-Waterloo,https://tcspinners.wixsite.com/twincityspinners,phone,460-081-4554,,invalid-format;shared-by-8-clubs
Unity Jr. NBA community program (SKY Basketball),Unity,https://leagues.teamlinkt.com/skybasketball/Communities,phone,306-780-9264,,shared-by-26-clubs
Warman Minor Basketball,Warman,https://leagues.teamlinkt.com/smba,phone,306-249-4712,,shared-by-2-clubs
West United Prep,city unconfirmed,linktr.ee/westunitedprepacademy,phone,737-801-5000,,shared-by-2-clubs
West United Prep Academy,Halton (Oakville/Burlington) ON,linktr.ee/westunitedprepacademy,phone,737-801-5000,,shared-by-2-clubs
Winnipeg Chaos (Chaos Basketball Club),Winnipeg,https://chaosbasketball.ca/,phone,534-864-3784,,shared-by-14-clubs
Woodbridge Basketball Association,,https://www.wlions.ca/,email,info@woodbridgebasketball.com,n,
Ã‰cole de basketball Ã‰ric Monkam (EBEM),QuÃ©bec City,https://www.ecolebbemonkam.com/,phone,534-864-3784,,shared-by-14-clubs
