club_name,city,website,new_email,new_phone,all_emails_found,all_phones_found
ACE Hoops (Ace Hoops Vernon),Vernon,https://acehoops.net/,you@email.com,,you@email.com,
Albany Avenue Basketball,,https://albanyavenuebasketball.ca/,coachloucks@albanyavenuebasketball.ca,416-844-0131,coachloucks@albanyavenuebasketball.ca,416-844-0131
Ancaster Basketball Club (Magic),,http://ancastermagic.pointstreaksites.com/view/ancastermagic/home-page-657,,866-892-0777,,866-892-0777
Athelite Basketball,Surrey,http://www.athelitebasketball.com,,460-081-4554,info@athelitebasketball.com,460-081-4554; 314-453-8958
BC United Basketball Club,North Vancouver,https://www.bcunitedbasketball.com,,812-990-0837,techteam@bcunitedbasketball.com,812-990-0837; 727-971-7766; 760-019-6615
BGC Peel (Boys and Girls Club of Peel),Mississauga/Brampton/Caledon,https://www.bgcpeel.org/,info@bgcpeel.org,905-712-1789,info@bgcpeel.org,905-712-1789
BGC Prince County - Summerside Club (Boys & Girls Club),Summerside,https://www.facebook.com/bgcsummerside/,,940-333-7390,,940-333-7390; 666-666-6667
Ballmatics Academy,,https://ballmatics.com/,,416-855-5572,info@qsla.ca,416-855-5572
Battlefords Jr. NBA community program (SKY Basketball),North Battleford,https://leagues.teamlinkt.com/skybasketball/Communities,,306-780-9264,crrb@sasktel.net; penand00@gmail.com; lwagner@srsd119.ca; aaronfosseneuve@nlsd113.ca,306-780-9264
Belleville Spirits Boys Basketball,Belleville,https://quinte.totalsportsmedia.ca/directory/belleville-spirits-boys-basketball/,,905-914-7454,boysbellevillespirits@gmail.com; boqtotalsports@gmail.com,905-914-7454
Biggar Jr. NBA community program (SKY Basketball),Biggar,https://leagues.teamlinkt.com/skybasketball/Communities,,306-780-9264,crrb@sasktel.net; penand00@gmail.com; lwagner@srsd119.ca; aaronfosseneuve@nlsd113.ca,306-780-9264
Bulkley Valley Basketball Society,Smithers,https://www.bvbasketball.ca,,250-877-9537,clubbasketballbv@gmail.com; basketballbv@gmail.com,250-877-9537
CODE,Whitby,codeprep.ca,,259-891-1325,,259-891-1325; 236-953-0196; 307-226-4514
Canadian Basketball Academy,Toronto,https://www.canadianbballacademy.com/,admin@canadabasketball.com,,admin@canadabasketball.com,416-993-9536
Capital City Basketball Academy,Edmonton,https://www.capcitybballacademy.ca/,,900-900-9009,,900-900-9009
Carleton North Minor Basketball Association,Florenceville-Bristol,https://www.facebook.com/share/1CY9UV55im/?mibextid=wwXIfr,,940-333-7390,,940-333-7390; 666-666-6667
Carrot River Jr. NBA community program (SKY Basketball),Carrot River,https://leagues.teamlinkt.com/skybasketball/Communities,,306-780-9264,crrb@sasktel.net; penand00@gmail.com; lwagner@srsd119.ca; aaronfosseneuve@nlsd113.ca,306-780-9264
Centre communautaire rÃ©crÃ©atif Saint-Jean-Baptiste (CCRSJB) â€” Mini-basket,Drummondville,https://www.ccrsjb.qc.ca/activites/mini-basket,,819-477-4475,g.tessier@ccrsjb.qc.ca,819-477-4475
Chatham Youth Basketball Association,Chatham,https://www.chathamyba.org/,chathamyba@gmail.com,,chathamyba@gmail.com,
Christian Youth Basketball League (CYBL),Barrie & Kingston,https://www.cyblbasketball.ca/,info@cyblbasketball.ca,705-702-2502,info@cyblbasketball.ca,705-702-2502
Christopher Lake Jr. NBA community program (SKY Basketball),Christopher Lake,https://leagues.teamlinkt.com/skybasketball/Communities,,306-780-9264,crrb@sasktel.net; penand00@gmail.com; lwagner@srsd119.ca; aaronfosseneuve@nlsd113.ca,306-780-9264
Climb Basketball Academy,Edmonton,https://www.climbbasketball.ca/home,info@climbbasketball.ca,,info@climbbasketball.ca,
Corner Brook Shooting Stars Basketball Club,Corner Brook,https://www.facebook.com/CornerBrookMinorBasketball/,,940-333-7390,,940-333-7390; 666-666-6667
County Clippers,"Eli Carlone, rep",https://www.countyclippers.ca/,,460-081-4554,,460-081-4554; 314-453-8958; 534-864-3784
Crunch Time Basketball (Ignite),Markham/Unionville/Stouffville/Richmond Hill/Newmarket/Aurora,https://www.crunchtimebasketball.ca/,nathan@crunchtimebasketball.ca,416-795-5986,nathan@crunchtimebasketball.ca,416-795-5986
Crunch Time Elite,,https://www.crunchtimebasketball.ca/,nathan@crunchtimebasketball.ca,416-795-5986,nathan@crunchtimebasketball.ca,416-795-5986
Cumberland House Jr. NBA community program (SKY Basketball),Cumberland House,https://leagues.teamlinkt.com/skybasketball/Communities,,306-780-9264,crrb@sasktel.net; penand00@gmail.com; lwagner@srsd119.ca; aaronfosseneuve@nlsd113.ca,306-780-9264
Downtown's Finest,Toronto ON,https://www.downtownsfinest.ca/,info@downtownsfinest.ca,,info@downtownsfinest.ca,
Dundurn Jr. NBA community program (SKY Basketball),Dundurn,https://leagues.teamlinkt.com/skybasketball/Communities,,306-780-9264,crrb@sasktel.net; penand00@gmail.com; lwagner@srsd119.ca; aaronfosseneuve@nlsd113.ca,306-780-9264
Durham Force,,https://durhamsportsplex.com/durham-force/,durahmsportsplex@gmail.com,416-661-9115,durahmsportsplex@gmail.com,416-661-9115
Edge School (Edge Varsity/Prep),Calgary AB,edgeschool.com,info@edgeschool.com,,info@edgeschool.com,403-246-6432
Escadron Basketball,,https://escadron.com,,450-662-7000,info@escadron.com; info@escadron.ca; tm@csssamares.gouv.qc.ca; info@reine-marie.qc.ca,450-662-7000; 450-680-3044; 450-686-6300
Filipino Basketball Association of Durham (FBAD),,https://www.fbadurham.org/,,498-287-6036,,498-287-6036; 763-616-9234
GBU (Gwillimbury United),E/W Gwillimbury-Newmarket ON,gbunited.ca,,534-864-3784,,534-864-3784; 352-464-8088
GTA Mavericks,Vaughan,https://gtamavericks.ca/,info@gtamavericks.ca,,info@gtamavericks.ca,800-787-5215
Glory Basketball,,glorycanball.com,,519-280-7293,glorycanball@gmail.com,519-280-7293
Gloucester Cumberland Basketball Association (Wolverines),Ottawa (Gloucester/Cumberland/Orleans),https://gcba.ca/,g_cbasketball@yahoo.ca,613-834-2178,g_cbasketball@yahoo.ca,613-834-2178
Gold Medal Basketball Club,,http://www.goldmedal.on.ca/|,mattscott307@gmail.com,,mattscott307@gmail.com,
Gwillimbury Basketball United,East Gwillimbury,gbunited.ca,,534-864-3784,,534-864-3784; 352-464-8088; 574-840-9713
Hafford Jr. NBA community program (SKY Basketball),Hafford,https://leagues.teamlinkt.com/skybasketball/Communities,,306-780-9264,crrb@sasktel.net; penand00@gmail.com; lwagner@srsd119.ca; aaronfosseneuve@nlsd113.ca,306-780-9264
Hall of Fame Basketball Academy,,https://hofba.teamsnapsites.com/,,289-338-1352,info@hofba.com; ritahofba@outlook.com,289-338-1352
