club,city,website,kind,value,domain_match,reasons
Albany Avenue Basketball,,https://albanyavenuebasketball.ca/,phone,416-844-0131,,
BC United Basketball Club,North Vancouver,https://www.bcunitedbasketball.com,phone,812-990-0837,,
BGC Peel (Boys and Girls Club of Peel),Mississauga/Brampton/Caledon,https://www.bgcpeel.org/,email,info@bgcpeel.org,Y,
BGC Peel (Boys and Girls Club of Peel),Mississauga/Brampton/Caledon,https://www.bgcpeel.org/,phone,905-712-1789,,
Ballmatics Academy,,https://ballmatics.com/,phone,416-855-5572,,
Belleville Spirits Boys Basketball,Belleville,https://quinte.totalsportsmedia.ca/directory/belleville-spirits-boys-basketball/,phone,905-914-7454,,
Bulkley Valley Basketball Society,Smithers,https://www.bvbasketball.ca,phone,250-877-9537,,
Capital City Basketball Academy,Edmonton,https://www.capcitybballacademy.ca/,phone,900-900-9009,,
Centre communautaire rÃ©crÃ©atif Saint-Jean-Baptiste (CCRSJB) â€” Mini-basket,Drummondville,https://www.ccrsjb.qc.ca/activites/mini-basket,phone,819-477-4475,,
Christian Youth Basketball League (CYBL),Barrie & Kingston,https://www.cyblbasketball.ca/,phone,705-702-2502,,
Downtown's Finest,Toronto ON,https://www.downtownsfinest.ca/,email,info@downtownsfinest.ca,Y,
Durham Force,,https://durhamsportsplex.com/durham-force/,phone,416-661-9115,,
Edge School (Edge Varsity/Prep),Calgary AB,edgeschool.com,email,info@edgeschool.com,Y,
Escadron Basketball,,https://escadron.com,phone,450-662-7000,,
Filipino Basketball Association of Durham (FBAD),,https://www.fbadurham.org/,phone,498-287-6036,,
GTA Mavericks,Vaughan,https://gtamavericks.ca/,email,info@gtamavericks.ca,Y,
Glory Basketball,,glorycanball.com,phone,519-280-7293,,
Gloucester Cumberland Basketball Association (Wolverines),Ottawa (Gloucester/Cumberland/Orleans),https://gcba.ca/,phone,613-834-2178,,
Hall of Fame Basketball Academy,,https://hofba.teamsnapsites.com/,phone,289-338-1352,,
Hamilton Transway Basketball,Hamilton,https://www.transwaybasketball.com/,phone,810-287-0562,,
Island Swish,Nanaimo,https://islandswish.com/,phone,250-327-2416,,
JoooKooo Sports Academy,,https://joookooo.com/,phone,647-243-6859,,
Junior Bears Basketball Club (University of Alberta),Edmonton,https://bearsandpandas.ca/sports/2020/10/21/junior-bears-basketball-club.aspx,phone,326-471-3741,,
Junior Royals Basketball Club (Selkirk),Selkirk,https://www.basketballmanitoba.ca/2018/03/selkirk-junior-royals-basketball-club.html,phone,204-925-5775,,
