club,email,phone,website,region,lat,lon
17 Basketball Club,,416-571-9367,https://www.17basketball.com/,York,,
416 United,416basketballto@gmail.com,,https://416basketball.com,Toronto,,
Against The Six Prep,,,https://www.instagram.com/atsprep/,GTA,,
Alpha Elite,,,,GTA,,
Basketball World Toronto,youth@bwt.ca,(647) 444-4298,https://www.bwt.ca/,Toronto Region,43.6728452,-79.4969934
Brampton City Prep,,,,Peel,43.6204946,-79.5131983
Brotherhood Elite,info@brotherhoodelite.ca,6475450664,https://brotherhoodelite.ca/,,,
Burlington Force,operations@burlingtonbasketball.ca,(905) 220-3735,https://burlingtonbasketball.ca/,Peel-Halton,43.3676672,-79.8268651
Burloak Elite,,(416) 219-4939,https://burloakbasketball.com,Halton,,
C.O.D.E Academy,info@codeprep.ca,,https://codeprep.ca,,,
CKATT Basketball,info@ckatt.com,416-346-6244,https://ckatt.com,Peel,,
Cali Prep,,,https://caliprepacademy.com,,,
Canadian Basketball Academy (CBA),,(416) 993-9536,https://www.canadianbballacademy.com/,Toronto Region,43.6904943,-79.4088446
Central Tech,centraltechnicalschool@tdsb.on.ca,416-393-0070,https://schoolweb.tdsb.on.ca/centraltechnicalschool,Toronto,,
City Above Elite,northernkingsacademy@gmail.com,,,GTA,,
Eastern Basketball Academy,,,https://easternbasketball.ca,Eastern Ontario,,
Elton Academy,info@eltonacademy.ca,9057310505,https://eltonacademy.ca/rep-basketball-program/,,,
F.O.R.M. Basketball Academy,,,https://formbasketball.com/,Toronto/Scarborough,49.2827291,-123.1207375
Full Circle Basketball Academy,,,,,43.9109352,-78.7884468
Future Hope Academy,info@futurehopeacademy.com,416-900-0102,,,,
G2S Game Changers,,,https://www.instagram.com/g2s_gamechangers/,GTA,,
Gators Basketball Academy,,,https://www.gatorsbasketballacademy.com/,Durham-York,43.8720975,-79.2685712
Gwillimbury Basketball United,,,https://gbunited.ca,York,,
Kings Court Academy,,,https://www.jrkcb.ca/,GTA,,
Lincoln Prep,admin@lincolnprep.ca,905-522-0890,https://www.lincolnprep.ca/,Hamilton,,
London Ramblers,ramblercoach@gmail.com,519-850-4318,https://londonramblers.com/,West Region,43.0474141,-81.2563574
M&R Basketball,info@mandrbasketball.ca,647-927-7091,https://www.mandrbasketball.ca,GTA,43.8599076,-79.3349945
North York Lions,,,https://pbaa.ca,Toronto,,
Oakville Panthers,chad@oakvillepanthers.com,647-405-2423,https://www.oakvillepanthers.com/,Halton,,
Orangeville Prep,info@orangevilleprep.com,519-940-3735,https://orangevilleprep.com,Dufferin,,
PDM Basketball,admin@pdmbasketball.com,(647) 637-3859,https://pdmbasketball.com/,Peel-Halton,43.4223045,-79.7037018
Polaris Prep,polarisprepacademy@gmail.com,,https://polarisprep.com/,GTA,,
Project Excellence,,647-705-0217,,,,
RSB Elite,,,https://www.rsbassociation.ca/,Peel-Halton,43.7192939,-79.7170258
Royal Crown,,,https://royalcrownschool.com,,,
Scarborough Basketball Association (SBA),info@sbablues.ca,(416) 551-7554,https://sbabasketball.ca/,Toronto Region,43.7580489,-79.2287812
Simcoe United,info@barrieroyals.ca,705-717-6449,https://norfolkyouthbasketball.ca/,Kitchener-Waterloo,44.3903652,-79.6910866
St. Benedicts,,519-621-4050,https://stbenedict.wcdsb.ca/,Waterloo,,
Strive Hoops,,,https://strivehoops.com,Lesser Slave Lake / Northern Alberta,44.5717812,-76.8840548
TRC Academy,trchockey@therisecentre.com,,,Brant,,
Team Sanctuary,contact@sanctuarysportcenter.ca,416-826-3391,https://sanctuarysports.ca,GTA,,
Toronto Lords,lordsbasketball@gmail.com,(416) 598-4448,http://www.lordsbasketball.com/,Toronto Region,43.6441973,-79.4042754
Tri-City Prep,,,https://tricityba.com,,,
Triple Balance,info@triplebalance.ca,,https://www.triplebalance.ca/,Toronto Region,43.821965,-79.2151548
UEWB,uewbcanada@gmail.com,,,GTA,,
Uchenna Academy,info@uchenna.ca,,,,,
Vanguard North,vanguardnorth29@gmail.com,416-875-2733,https://vanguardnorthbasketball.ca/,GTA,,
West United Prep,,,https://linktr.ee/westunitedprepacademy,GTA,,
Wiggins Elite,,,https://wigginselite.com,GTA,,
William Academy,general@williamacademy.ca,416-491-6888,,,,
Windsor Suns,,,https://www.wpasuns.com/,Windsor,,
