club_name,city,website,status,has_email,has_phone
22 Wing Fitness & Wellness Centre,Hornell Heights,https://jr-nba.webflow.io/programs/22-wing-fitness-wellness-centre-fall,unreachable,Y,n
416 United,Toronto,416basketball.com,unreachable,Y,n
4th Qtr Basketball,,4qt.ca,unreachable,Y,n
506 Elite (TH Sports Group),Moncton,https://506elite.com/,unreachable,n,Y
Acadia Minor Basketball,Wolfville,https://www.acadiaminorbasketball.ca/,unreachable,n,Y
Advantage Titans,,https://advantagetitans.com/,unreachable,Y,n
Alberni Basketball / Port Alberni Minor Basketball Association (PAMBA),Port Alberni,https://www.albernibasketball.ca/,unreachable,n,n
Alonzolutions Basketball (A'z Basketball),Calgary,https://alonzolutions.ca/,unreachable,n,n
Altona Basketball Association,Altona,https://altonabasketball.com/,unreachable,n,n
Apex Athlete Development (Apex Basketball),Ponoka,https://www.apexathletedevelopment.ca/,unreachable,n,n
BGC Dieppe (Boys & Girls Club of Dieppe),Dieppe,https://bgcdieppe.ca/programs/drop-in/,unreachable,Y,n
Believe Basketball Academy,Nanaimo,https://www.believebasketballacademy.com/,unreachable,n,n
Big Country Basketball,Southern Manitoba (Winkler/Morden area),https://www.bigcountrybasketball.com/,unreachable,Y,n
Blessed Sacrament Yellow Jackets,,https://www.blessedsacramentbasketball.ca/#/,unreachable,Y,n
Bounce Elite,,http://www.bounceelite.ca/home,unreachable,n,n
Brodie Rec (Calgary North),Calgary,https://www.brodierec.com/locations/calgary-alberta,unreachable,Y,n
Burlington Hoops Academy,Burlington/Oakville ON,burlingtonhoopsacademy.com (down),bad-url,n,Y
CIA Bounce / Nike EYBL,Toronto (GTA-wide),http://www.nikebounce.com/home,unreachable,Y,n
CKATT / Cooksville,,http://www.ckatt.org/,unreachable,Y,n
Cadougan Elite,,cadouganelite.com,unreachable,n,n
Calwest Basketball Association,Calgary,https://www.calgarywestbasketball.com,unreachable,Y,n
Canada Elite,"Toronto (Milton, per prior OBA KML record)",https://www.canelite.ca/,unreachable,n,n
Capital X,"Ottawa (Capital region, inferred)",https://www.capitalxbasketball.com/,unreachable,n,Y
Centre Wellington Celtics,Fergus/Elora,https://cwceltics.ca/,unreachable,Y,n
Charlottetown Tigers Minor Basketball Association (Charlottetown Minor Basketball Association),Charlottetown,http://tigersbasketball.ca/,unreachable,Y,n
Cmore Elite,,cmeelitebasketball.com,unreachable,Y,n
Cochrane Minor Basketball Association (CoMBA),Cochrane,https://www.cochraneminorbasketball.com,unreachable,Y,n
Community YMCA Panthers Basketball (YMCA of Greater Halifax/Dartmouth),Halifax,https://ymcahfx.ca/panthers/,unreachable,Y,n
Conception Bay Seeds Youth Initiatives Inc. (CB Seeds Youth Basketball),Conception Bay Centre (Holyrood/Avondale area communities),https://www.cbseeds.ca,unreachable,n,n
DK Dragons,,https://dragonsbasketball.sportsengine-prelive.com/home,unreachable,n,n
Dartmouth Celtics Basketball Club,Dartmouth,http://dartmouthceltics.ca/,unreachable,Y,n
Dovercourt Recreation Association,Ottawa,https://jr-nba.webflow.io/programs/dovercourt-recreation-association-fall,unreachable,Y,n
EK Hoops Training,Surrey,https://www.ekhoopstraining.com,unreachable,n,n
East Pro Basketball Association,Calgary,https://www.eastprobasketball.ca,unreachable,Y,n
Excel Hoops Rep,,https://www.excelhoops.com/,unreachable,Y,n
FCBA Blizzards (Filipino-Canadian Basketball Association),Calgary,https://www.fcbablizzards.com/,unreachable,n,n
FYBA â€” Fundamental Youth Basketball Academy,Vernon / Kelowna / Penticton (multi-site Okanagan),https://www.fyba.ca/,unreachable,n,n
Fastbreak Basketball BC,Burnaby,https://www.fastbreakbasketballbc.ca,unreachable,Y,n
Fernie Elevate Basketball,Fernie,https://www.ferniebasketball.com/,unreachable,Y,n
Gander Minor Basketball,Gander,https://ganderminorbasketball.ca,unreachable,Y,n
Girls Play Too,GTA-wide,https://www.girlsplaytoo.ca/aau,unreachable,n,n
Grassroots Canada,Toronto,https://www.grassrootscanada.org/,unreachable,n,Y
Grassroots Elite,,https://www.grassrootscanada.org/home,unreachable,Y,n
Gryphons Basketball,Victoria,https://www.gryphonsbasketball.net,unreachable,Y,n
HQ Elite,,hqcanada.net,unreachable,Y,n
HQ Prep / HQ Elite (HQ Canada),Hamilton ON,hqcanada.net,unreachable,Y,n
Huron Lakers,,http://huronlakers.on.ca/,unreachable,n,n
Ignite Canada Basketball,Winnipeg,https://www.ignitecanadabasketball.com,unreachable,Y,n
Indian Head Community Basketball Association,Indian Head,https://www.ihactivities.ca,unreachable,Y,n
Inspire Basketball Club,Abbotsford,https://www.inspirebasketballclub.com,unreachable,n,n
Inter-City Saints,,https://www.intercitysaintseliteclub.com/teams/?u=INTER-CITYSAINTS&s=basketball,unreachable,n,n
JR Basketball Club,Langley,https://www.jrbasketballclub.com,unreachable,n,n
Jr. Fog (Port City Fog junior program),Saint John,https://themwba.ca/teams/port-city-fog/,unreachable,Y,n
Jr. Freeze (Fredericton Junior Freeze),Fredericton,https://themwba.ca/2025/03/24/junior-freeze-becomes-reality/,unreachable,n,n
Junior Bison Boys Basketball Club,Winnipeg,https://www.juniorbisonboys.ca/,unreachable,Y,n
Junior Griffins Basketball (MacEwan University),Edmonton,https://www.macewangriffins.ca/camps/jrgriffins,unreachable,n,n
K.T.B. Performance,Abbotsford,https://www.ktbpt.com,unreachable,n,n
Mecca Sports Basketball,Richmond,https://meccasports.ca,unreachable,Y,n
Mississauga Knights,Mississauga,http://knightsbasketball.ca/,unreachable,Y,n
Mount Pearl Minor Basketball Association (MPMBA),Mount Pearl,http://mountpearlbasketball.com,unreachable,Y,n
Next Level Basketball,Vernon,https://www.nlbasketball.ca/,unreachable,n,n
Niagara Rangers,,http://www.niagararangers.com/,unreachable,n,n
Nova Stars Elite,,forms.gle/iDvhsbGGs38zYVac9 (registration form),unreachable,n,n
Olds College Jr. NBA Youth Basketball,Olds,https://gobroncos.ca/,unreachable,n,n
Open Court Training Academy,Abbotsford,https://www.open-court.ca,unreachable,n,n
Penetanguishene-Midland Basketball Association,Penetanguishene,https://www.pmbabasketball.com/,unreachable,Y,n
Peneteng Midland Basketball Association,Midlan,https://jr-nba.webflow.io/programs/peneteng-midland-basketball-association-fall,unreachable,n,Y
Richmond Sports Academy,Richmond,https://www.richmondsportsacademy.com,unreachable,n,n
Rise Up Ball (R.U.B.),Surrey,https://www.riseupball.com,unreachable,n,n
Rookies Sports Club,Surrey,https://www.rookiessc.ca,unreachable,n,n
Sevenfold Sport Basketball,Abbotsford,https://www.sevenfoldbasketball.ca,unreachable,n,n
South Toronto Golden Eagles,Toronto,https://www.southtorontobasketball.com/,unreachable,n,Y
Southeast Storm Basketball (Southeast Community Storm Basketball),Steinbach,http://www.southeaststormbasketball.com/,unreachable,Y,n
Southern Shore Goulds Basketball (Goulds Basketball Association / Southern Shore Basketball Association),Goulds (St. John's),gouldsbasketball.ca (registry-listed; not resolving July 2026),bad-url,Y,n
Southern Victoria Basketball Club (Southern Victoria Minor Basketball Association),Perth-Andover,https://svba.ca/,unreachable,n,n
Southwest Academy Prep,London,swfacademy.com,unreachable,Y,n
Splash Basketball,North Vancouver,https://www.splashbballbc.com,unreachable,Y,n
Squamish Youth Basketball Association (SYBA),Squamish,https://squamishyouthbasketball.ca/,unreachable,Y,n
Stoney Creek NYB,Stoney Creek,https://www.scnyb.com/,unreachable,n,Y
Stratford Foxes Minor Basketball Association,Stratford,http://stratfordfoxes.ca/,unreachable,n,n
Team Breakdown Basketball,Brampton/Mississauga/Guelph/Caledon,http://www.breakdownbasketball.ca/,unreachable,n,n
Torbay Minor Basketball,Torbay,https://torbayminorbasketball.ca,unreachable,Y,n
Trent Athletics Centre,Peterborough,https://jr-nba.webflow.io/programs/trent-athletics-centre-fall,unreachable,Y,n
Triple Threat Basketball,Burnaby,http://www.triplethreatbasketball.ca,unreachable,n,n
Underground Basketball Club,,undergroundbasketballclub.ca,unreachable,n,Y
WPA Suns,,wpasuns.com,unreachable,Y,n
Welland Minor Basketball Association,Welland,http://www.wellandminorbasketball.ca/,unreachable,n,n
West Coast Training,North Vancouver,https://www.wctraining.ca/,unreachable,n,n
Whistler Youth Basketball,Whistler,https://www.whistleryouthbasketball.com/,unreachable,n,n
Whitby Saints,Whitby,http://www.whitbysaints.com/,unreachable,n,n
Whitby Wildcat Sports,Whitby/Oshawa/Ajax,https://www.whitbywildcatsports.ca/,unreachable,n,n
Whitby Wildcats,Whitby,https://whitbywildcatbasketball.com/,unreachable,n,n
Windsor Suns Elite Basketball,Windsor,https://www.wpasuns.com/,unreachable,Y,n
Woodstock Minor Basketball Association,Woodstock,http://www.woodstockminorbasketball.com/,unreachable,n,n
YMCA of Eastern Ontario Brockville,Brockville,https://jr-nba.webflow.io/programs/ymca-of-eastern-ontario-brockville-fall,unreachable,Y,n
YMCA of Eastern Ontario Kingston,Kingston,https://jr-nba.webflow.io/programs/ymca-of-eastern-ontario-kingston-fall,unreachable,Y,n
