Club Name,Region,City,Address,Phone,Email,Website,Owner/Principal,Programs,Leagues,Notes
North Toronto Basketball Association (NTBA),Toronto,Toronto,"43552 – 1601 Bayview Ave, Toronto, ON M4G 4G8",(416) 481-1555,ntbaregistrar@bell.net,https://ntbasketball.com/,"Chris Easton, President","House league, Rep (Huskies)",OBA,
East York Basketball,Toronto,Toronto (East/Beaches),"520 Cosburn Ave, East York, Ontario, M4J 2P1",,via website,https://eastyorkbasketball.com/,"Gerald Rozario, President","31 Rep teams, House league",OBA,
Scarborough Basketball Association (SBA),Toronto,Scarborough,"3495 Lawrence Ave E #210, Scarborough, ON M1H 1B3",(416) 551-7554,via website,https://sbabasketball.ca/,"Sam Moncada, President","Rep (SBA Blues), House league",OBA,
Etobicoke Basketball Association,Toronto,Etobicoke,"PO Box 11510, 600 The East Mall, Etobicoke, ON M9B 4B0",(647) 238-2690,manager@etobicokebasketball.com,https://etobicokebasketball.com/,"Ray Chateau, President","House league, Rep",OBA,
NET Basketball Academy (Toronto Nets),Toronto,North York,"2900 Don Mills Rd, North York, ON M2J 3B6",(647) 648-4073,via website,https://www.netba.ca/,"Coach Daniel, Founder","House league, OBL Competitive",OBA,
North Region Basketball Association (NRBA),Toronto,Toronto (GTA-wide),"3701 Chesswood Drive, Suite 116, Toronto, ON",647-519-3983,Nick.NRBA@gmail.com,https://tonrba.com/,"Nick Biagini, Director","Ages 4-18, House league, Rep, Development",OBA,Since 2000
Toronto Top Tier,Toronto,Toronto,"Etobicoke, ON",416-708-3508,via website,https://www.torontotoptier.com/,,"House league, Rep, Training",,
Toronto Triple Threat,Toronto,Toronto,"55 Gordon St Suite 2A, Toronto",,via website,https://torontotriplethreat.com/,"Norman Clarke, President","Rep, Life skills, Ages 6-18",,Inner-city focus since 2003
Toronto Lords Basketball,Toronto,Toronto,4 Joseph Salsberg Lane,(416) 598-4448,via website,https://lordsbasketball.com/,Bob Clarke,"OBA Rep, AAU summer, Ages 6-19","OBA, AAU",
Basketball World Toronto (BWT),Toronto,Toronto,"20A Duern St, Toronto",(647) 444-4298,info@bwt.ca,https://www.bwt.ca/,"Michael Reio, Founder & Executive Director","Rep (BWT Rebels), House league",OBA,Non-profit since 2006
Canadian Basketball Academy (CBA),Toronto,Toronto,298 Lonsdale Rd,(416) 993-9536,via website,https://www.canadianbballacademy.com/,"Steven-Michael Ambrose, President",Training,,
Canada Topflight Academy (CTA),Toronto,Toronto,710 Broadview Avenue,613-797-2089,,https://canadatopflight.com/,"Tony House, Founder & Head Coach","Rep, Prep","OSBA, NSC, NJC",Multi-league
CIA Bounce / Nike EYBL,Toronto,Toronto (GTA-wide),,,ciabounce@gmail.com,http://www.nikebounce.com/home,"Tony McIntyre & Mike George, Co-founders","Elite AAU, Nike EYBL",Nike EYBL,Only Canadian EYBL team
Grassroots Canada,Toronto,Toronto,,(416) 272-0376,via website,https://www.grassrootscanada.org/,Timeka Poyser,"AAU, Scholarship pathway",,Inner-city youth
LIFT AAU Basketball,Toronto,Toronto,,(905) 928-2174,via website,https://www.letitflybasketball.com/liftaau,"Dustin Mactaggart, Founder & Owner",Elite travel teams,AAU,
University Settlement Basketball,Toronto,Toronto,"23 Grange Rd, Toronto",416-598-3444,via website,https://universitysettlement.ca/fitness-and-recreation/basketball/,"Raymond White, Executive Director","Youth basketball, Ages 13-24",,Recreational
Mississauga Minor Basketball (MMBA/Monarchs),Peel,Mississauga,"5600 Rose Cherry Pl, Mississauga, ON L4Z 4B6",(905) 502-0050,info@mmba.on.ca,http://www.mmba.on.ca/,,"House league, Rep",OBA,
Monarchs Basketball (Rep/AAU),Peel,Mississauga,"5600 Rose Cherry Place, Mississauga, ON L4Z 4B6",(905) 502-0050,via website,https://monarchsbasketball.ca/,Jerome Smith | Executive Director,"Rep ages 8-18, AAU (US tournaments)","OBA, AAU",
Brampton Minor Basketball (BMBA),Peel,Brampton,"8930 McLaughlin Rd S, Bldg E, Brampton, ON L6Y 5T1",(905) 455-5277,via website,https://bramptonbasketball.com/,Leslie Johnson-Carmichael | President,"House league, Rep, Ages 5-18",OBA,Since 1979
The Performance Group (TPG),Peel,Brampton,"Harold Brathwaite Secondary School, Brampton, Ontario",(647) 501-9805,via website,https://performancegroupbasketball.com/,Alfred Brown | Co-Founder/President,"OBA Rep, AAU","OBA, AAU",Non-profit
Brampton City Prep,Peel,Brampton,"49 Queens Plate Dr. Etobicoke, ON",416.747.7208,info@bramptoncityprep.com,,,Prep program,"NPA, OSBA",
JUMP Basketball,Peel/Halton/Durham,Multiple (Mississauga/Brampton/Oakville/Milton/Burlington/Vaughan/Oshawa),(647) 549-5867,647-549-5867,via website,https://jumpbasketball.ca/,Eric Scoffield | Co-founder,"Rep (OBA sanctioned), House league, Camps, Ages 6-17",OBA,Multi-location
