Club Name,Province,Region,City,Address,Phone,Email,Website,Owner/Principal,Programs,Leagues,Team-League Map,Type,Software,Confidence,Source,Notes
Atelier 803 (formerly L'Académie de basketball de Thetford Mines; teams brand: Team Thetford Basketball),Quebec,Chaudière-Appalaches,Thetford Mines (Saint-Joseph-de-Coleraine),,,,https://www.atelier803.ca/,"Igor Rwigema — founder (2012 in Alma, Thetford Mines since 2014); Armel Mampouya — director","Boarding basketball academy, ~30-50 student-athletes/yr (secondary + cégep, from Québec, rest of Canada, Caribbean, Europe); 3 civil teams (Team Thetford) playing elite prep circuits in the US and Ontario; academics mandatory; summer camps; alumni include Chris Boucher (NBA) and Quincy Guerrier","US/Ontario elite prep circuits (unspecified, outside RSEQ)","Team Thetford's 3 civil teams → US and Ontario elite circuits (Le Soleil, 2020)",private academy (with nonprofit fundraising campaigns),,verified,https://www.atelier803.ca/,Highest-profile private basketball academy in eastern Quebec
"Énergie Basketball (incl. Impact Basketball, Shawinigan Prep, Volts Basketball Féminin)",Quebec,Mauricie,Shawinigan,"Complexe sportif René-Perron (école secondaire des Chutes), Shawinigan, QC (activity site)",819-913-9867,m__gagnon_48@hotmail.com,https://www.facebook.com/Shawiprepbasketball/,"Martin Gagnon — PSO-listed lead; Alain Landry — Volts Basketball Féminin program (voltsbasketball@gmail.com, 819-384-3432)",Nonprofit resource hub for Mauricie players/coaches; AAU-style 'Impact Basketball' teams; 'Shawinigan Prep' program (drew international student-athletes per Radio-Canada); Volts Basketball Féminin for girls grades 4-6; launched ~Nov 2020 with cadet and juvénile teams (~20 players),Circuit Basketball Québec (CBQ) — 'circuit civil de Basketball Québec'; Basketball Québec civil circuit (division unspecified),"Cadet and juvénile teams entered the CBQ civil circuit at launch (Le Nouvelliste, Nov 2020); players must also play for their school program",community nonprofit,,verified,https://www.lenouvelliste.ca/2020/11/12/un-nouveau-programme-de-basket-voit-le-jour-a-shawinigan-d5ed24fb34138565313630a433673a69/,Hub of the Mondou/Gym Impact basketball ecosystem in Shawinigan (Énergie + Impact Academy + Shawinigan Prep) | Also listed as: Énergie Basketball
Club de Basketball Saint-Hyacinthe (STH) / V-Kings de Saint-Hyacinthe (formerly Vikings),Quebec,"Montérégie (Richelieu-Yamaska), QC",Saint-Hyacinthe,"Registrations at Centre sportif de l'école Saint-Joseph, 2850 avenue de la Bruère, Saint-Hyacinthe, QC",514-885-4347,sthbasketball@hotmail.com,https://sth-basketball.com,Patrick Kervin — club head/contact (same phone listed for both STH club and V-Kings program in Basketball Québec registry and press),"Civil youth program from novice/mini through juvénile M/F (PSO PDF: novice, mini, benjamin M/F); V-Kings mission focused on intercultural integration and educational success; Sweet Sixteen tournament (100+ teams) fundraises for the program",Circuit Basketball Québec (CBQ); Ligue Basketball Québec (LBQ),"'CMF STH Basketball (Saint-Hyacinthe)' team page exists on the Circuit Basketball Québec Kreezee site; 'V-Kings de Saint-Hyacinthe' listed among LBQ Élite Benjamine participants (novice/mini league) — LBQ attribution reported, not current-season verified",community nonprofit (civil program),Own site 'launching soon' (sth-basketball.com); a 'Vikings de Saint-Hyacinthe' team schedule exists on LeagueLobster; CBQ league play runs on Kreezee,primary,https://www.basketball.qc.ca/fr/page/reseau_basketball_quebec/richelieu-yamaska.html,"Vikings (old PSO PDF), V-Kings (press/site) and STH (current BQ registry) share Patrick Kervin's phone 514-885-4347 — treated as one evolving organization. v-kingsbasketball.ca did not resolve at fetch time; alternate phone in press: 514-892-8278. | Also listed as: Club de Basketball Saint-Hyacinthe (STH) / V-Kings de Saint-Hyacinthe"
Association de basketball de Saint-Jean-sur-Richelieu (Basketball Riverains),Quebec,"Montérégie (Rive-Sud/Haut-Richelieu), QC",Saint-Jean-sur-Richelieu,"CP 835 BP Iberville, Saint-Jean-sur-Richelieu, QC J2X 4J5 (mailing); activities at Cégep Saint-Jean-sur-Richelieu",263-380-1577,abbstjr@gmail.com,https://www.basketballstjean.ca/,Annie Martel — club contact per Basketball Québec PSO registry PDF; president not published on site,"House leagues ('Ligues Locales') novice & mini, fall (Sep-Dec) + winter (Jan-Mar) sessions; spring development clinics (May-Jun); outdoor summer league (novice-benjamin, Jun-Jul); competitive 'Riverains' teams novice through juvénile M/F; July morning training; concentration sport",,"Riverains competitive teams novice-juvénile M/F — league network not published on site (note: the 'Riverains' in LBQ Élite Benjamine records is Drummondville's École Marie-Rivier, NOT this club — do not conflate)",community nonprofit,Zeffy,verified,https://www.basketballstjean.ca/,Phone as listed on the BQ Rive-Sud registry page (unusual area code — verify before outreach). Adult 'Pirates de St-Jean' (LBMQ senior league) excluded as adult-only.
Centre communautaire récréatif Saint-Jean-Baptiste (CCRSJB) — Mini-basket,Quebec,Centre-du-Québec,Drummondville,"114, 18e Avenue, Drummondville, QC",819-477-4475 ext. 203,g.tessier@ccrsjb.qc.ca,https://www.ccrsjb.qc.ca/activites/mini-basket,Gilles Tessier — sports activity coordinator,"Mini-basket ages 6-12, 10-week fall session (Saturdays), $75; part of broader multi-sport community programming",,,multi-sport community org,Sport-Plus-Online,verified,https://www.ccrsjb.qc.ca/activites/mini-basket,
Académie des Volontaires (Cégep de Sherbrooke — youth basketball academy),Quebec,"Estrie, QC",Sherbrooke,"Cégep de Sherbrooke, Centre de l'activité physique",819-564-6360,pierre-luc.chiasson-ricard@cegepsherbrooke.qc.ca,https://cegepsherbrooke.qc.ca/centre-de-lactivite-physique/activites/jeunesse/academie-basketball/,Pier-Luc Chiasson-Ricard — academy director (head coach men's D1),"Youth club teams U15/U16/U17 male, U16/U17 female ($600/season: 18 weekly practices, 3 tournaments + friendlies); summer camps grades 5-6 to collegial ($300-375)",,Teams play tournaments and friendly matches (3 tournaments/season per program description),institution-run youth academy (cégep),Omnivox (cégep platform) for camps; Google Forms for tryouts,primary,https://cegepsherbrooke.qc.ca/centre-de-lactivite-physique/activites/jeunesse/academie-basketball/,"Civil youth program run by the cégep, distinct from its RSEQ collegiate teams. Same principal as Basketball Sherbrooke coordination contact."
Académie Basketball — Cégep de Sherbrooke (Centre de l'activité physique),Quebec,"Estrie, QC",Sherbrooke,"Cégep de Sherbrooke, Sherbrooke, QC",,,https://cegepsherbrooke.qc.ca/centre-de-lactivite-physique/activites/jeunesse/academie-basketball/,,"Youth basketball academy: boys U15/U16/U17 and girls U16/U17 teams, training sessions, training camps and tournaments",,,college-affiliated youth academy,,reported,https://cegepsherbrooke.qc.ca/centre-de-lactivite-physique/activites/jeunesse/academie-basketball/,Paid community youth academy run by the cégep's activity centre (distinct from the Volontaires varsity teams). Borderline vs. school-team exclusion — flagged for pipeline filtering.
Association de basketball de Saint-Jean-sur-Richelieu (Riverains),Quebec,"Montérégie (Haut-Richelieu), QC",Saint-Jean-sur-Richelieu,"CP 835 BP Iberville, Saint-Jean-sur-Richelieu, QC J2X 4J5; plays at Cégep Saint-Jean-sur-Richelieu",263-380-1577,abbstjr@gmail.com,https://www.basketballstjean.ca/,Eric Gagnon — Président (per Quebec enterprise registry data mirrored at quebecentreprises.com; filing currency uncertain — verify before outreach),Local house leagues (Ligues Locales) novice & mini — fall and winter sessions; spring development clinics; outdoor summer league (novice-benjamin); competitive teams novice to juvénile M+F; July morning training; sport concentration; beginner to elite,Ligues Locales ABSJR (own house league); Montreal Basketball League (MBL),"House league novice/mini at Cégep St-Jean (Novices 10h-12h, Minis 12h-14h). League for competitive novice-juvénile teams not published",community nonprofit,Zeffy (all program registrations),verified,https://www.basketballstjean.ca/,"Team name 'Riverains'. Phone as published on BQ Rive-Sud page (263 area code, possibly a typo in the registry). Older Wix site: basketballstjean.wixsite.com/monsite. | TYPE: community nonprofit rep association (association personnifiée, NEQ 1164366149, registered 2007-04-16, status immatriculée). Board per REQ mirror: Eric Gagnon (président), Josée Latulippe (trésorière), Eric Faucher (secrétaire); administrators Steeve Gauvin, Jérome Dupuis, Steve Paquin, Sylvie Trahan, Elaine Beaudry, Rostand Phaneuf, Pierre Boivin. UNVERIFIED LEAD: search snippets of the SJSR city directory list a responsable 'Simon Bravo, (514) 770-1565, simon.rbm@gmail.com' (Bravo also coaches at Cégep Saint-Jean-sur-Richelieu) but this did not render on the fetched page — treat as lead, not confirmed. Teams 'Les Riverains' compete in Basketball Montréal league (AAA/AA/A + girls). Tryout camps at Polyvalente Chanoine-Armand-Racicot. Old secondary site on Wix (basketballstjean.wixsite.com/monsite). Socials: facebook.com/asso.basket.sj.rivs, instagram.com/lesriverains. SOURCES: https://organismes.sjsr.ca/item/association-de-basketball-de-saint-jean-sur-richelieu/ ; http://www.quebecentreprises.com/association-de-basketball-de-saint-jean-sur-richelieu-8ayb/ ; https://www.basketballstjean.ca/association-basketball-st-jean ; https://www.basketballmontreal.org/en/page/teams/st_jean_sur_richelieu_les_riverains.html"
LRMBR — Ligue Récréative de Mini-Basket Régionale / Sonic de Sorel-Tracy,Quebec,"Montérégie (Pierre-De Saurel), QC",Sorel-Tracy,"Venues: École secondaire Fernand-Lefebvre and primary schools Au Petit Bois, Maria-Goretti, Saint-Jean-Bosco, Saint-Gabriel-Lalemant, Sorel-Tracy",450-846-5205,lrmbr.sonic@gmail.com,https://lrmbrsonic.square.site,Josée Benoit — présidente du conseil d'administration,"Rec mini-basket ages 4-12 (~190 registered 2025-26, incl. 4 all-girls teams and preschool 4-5 intro groups); one benjamin team (sec. 1-2); summer outdoor open sessions; competitive division 'Sonic de Sorel-Tracy': novice (gr. 3-4) + mini A and mini AA (gr. 5-6), ~30 boys",LRMBR (operates its own recreational mini-basket league); Ligue Basketball Québec (LBQ) — implied for Sonic novice/mini A-AA (article: 'Basketball Québec nous oblige à mettre nos équipes mini dans deux catégories différentes'); LRMBR (its own recreational mini-basket league),"Rec teams (novice/mini + girls divisions) play in LRMBR's own league; Sonic novice A, mini A, mini AA play in Basketball Québec's civil categories",community nonprofit (league operator + competitive club),Square (square.site website/registration),verified,https://www.basketball.qc.ca/fr/page/reseau_basketball_quebec/richelieu-yamaska.html,Events email: lrmbr.sonic.evenement@gmail.com. Also absorbed benjamin players cut from the Polypus school program after the Bernard-Gariépy school fire.
Association Régionale de Basketball Laval (ABL / Basketball Laval),Quebec,Greater Montréal — Laval,Laval,,514-553-8422,info.basketlaval@gmail.com,https://www.basketlaval.ca/,Rodney Dorvelus and Irvens Pierre — staff contacts (Basketball Québec); Eric Denis — contact (PSO PDF),"Ages 5-17 boys and girls: Ligue maison Nobel (12-16), Basket pour tous, Nobel Élite competitive (mini 10-11 to juvénile 16-17), summer camps, Le REBOND academic support, Nobel Hoopfest",Ligue maison Nobel (house); Circuit Basketball Québec (CBQ); Montreal Basketball League (MBL),Nobel Élite teams in CBQ (U14 AAA boys 1st in 2023-24); 'Laval Nobel' teams in MBL; rec in Ligue maison Nobel,community nonprofit,Amilia (app.amilia.com store),verified,https://www.basketlaval.ca/?lang=en,
