score,reason,province,name_a,city_a,sources_a,name_b,city_b,sources_b,evidence_b,decision,reviewer,notes
1.0,same-name-different-city,Alberta,Vision Basketball Academy,Calgary,census-2026-07,Vision Basketball Academy,Okotoks,census-2026-07,https://visionbasketballacademy.com/locations,distinct,auto-rule,both are census municipalities (Calgary / Okotoks); kept separate - override if they are one club
1.0,same-name-different-city,British Columbia,Revolution Basketball Club,Abbotsford,census-2026-07,Revolution Basketball Club,Maple Ridge,census-2026-07,https://www.revolutionbasketballclub.com/,distinct,auto-rule,both are census municipalities (Abbotsford / Maple Ridge); kept separate - override if they are one club
1.0,same-name-different-city,British Columbia,Northside Attack Athletics,Burnaby,census-2026-07,Northside Attack Athletics,Pitt Meadows,census-2026-07,https://www.northsideattack.com/,distinct,auto-rule,both are census municipalities (Burnaby / Pitt Meadows); kept separate - override if they are one club
1.0,same-name-different-city,British Columbia,Panther Hoops,Coquitlam,census-2026-07,Panther Hoops,Port Coquitlam,census-2026-07,https://basketball604.com/basketball-clubs/,distinct,auto-rule,both are census municipalities (Coquitlam / Port Coquitlam); kept separate - override if they are one club
1.0,same-name-different-city,British Columbia,Steve Nash Youth Basketball — Nanaimo,Nanaimo,census-2026-07,Steve Nash Youth Basketball — Powell River,Powell River,census-2026-07,https://pacificsportvi.com/regional-and-local-sport-organizations/,distinct,auto-rule,both are census municipalities (Nanaimo / Powell River); kept separate - override if they are one club
1.0,same-name-different-city,British Columbia,Excel Basketball,Port Coquitlam,census-2026-07,Excel Basketball,Surrey,census-2026-07,https://excelbasketball.com/,distinct,auto-rule,both are census municipalities (Port Coquitlam / Surrey); kept separate - override if they are one club
1.0,same-name-different-city,British Columbia,Slamma Jamma Future Crusaders,Lower Mainland (Fraser River/Fraser Valley/Vancouver-Coastal regions),census-2026-07,Slamma Jamma Future Crusaders (Slamma Jamma Girls Basketball Club),Surrey,census-2026-07,https://basketball.bc.ca/clubs/member-clubs-2025-26/,,,
1.0,same-name-different-city,British Columbia,Community Elite,Richmond,census-2026-07,Community Elite,Vancouver,census-2026-07,https://basketball.bc.ca/clubs/member-clubs-2025-26/,distinct,auto-rule,both are census municipalities (Richmond / Vancouver); kept separate - override if they are one club
1.0,same-name-different-city,Ontario,Next Level Basketball (NextLevel Sports Academy / Cowichan Valley Basketball),Duncan,census-2026-07,Next Level Basketball,Vernon,census-2026-07,https://www.nlbasketball.ca/,distinct,auto-rule,both are census municipalities (Duncan / Vernon); kept separate - override if they are one club
1.0,same-name-different-city,Manitoba,Prairie Basketball League (PBL) / PBL Select,Niverville area (Eastman/Central region),census-2026-07,Prairie Basketball League (PBL) — league operator & PBL Select club teams,Steinbach,census-2026-07,https://prairiebasketballleague.ca/,,,
1.0,same-name-different-city,Manitoba,Prairie Basketball League (PBL) / PBL Select,Niverville area (Eastman/Central region),census-2026-07,Prairie Basketball League (PBL) — organization,Steinbach,census-2026-07,https://prairiebasketballleague.ca/contactus,,,
1.0,same-name-different-city,Newfoundland & Labrador,Force Basketball,Surrey,census-2026-07,FORCE Basketball (FORCE Basketball NL),Gander,census-2026-07,https://www.newfoundlandlabradorbasketball.com/minor-clubs,distinct,auto-rule,both are census municipalities (Surrey / Gander); kept separate - override if they are one club
1.0,same-name-different-city,Nova Scotia,Axe Basketball Club,Kentville (serves Hantsport to New Minas corridor),census-2026-07,Axe Basketball Club,Wolfville,census-2026-07,https://www.axebasketball.ca/,distinct,auto-rule,both are census municipalities (Kentville (serves Hantsport to New Minas corridor) / Wolfville); kept separate - override if they are one club
1.0,same-name-different-city,Newfoundland & Labrador,CE23 Academy (CE23 Basketball),Paradise,census-2026-07,CE23 Academy,Newfoundland,census-2026-07,ontario census + enrichment 2026-07-18,,,
1.0,same-name-different-city,Ontario,Rise Basketball (Rise Fitness and Sports Training),Vernon,census-2026-07,Rise Basketball,Toronto/GTA,census-2026-07,ontario census + enrichment 2026-07-18,,,
1.0,same-name-different-city,Ontario,Next Level Basketball (NextLevel Sports Academy / Cowichan Valley Basketball),Duncan,census-2026-07,Next Level Basketball (Barrie),Barrie,community-sweep,https://infobarrie.cioc.ca/record/BAR1687?UseCICVw=221,distinct,auto-rule,both are census municipalities (Duncan / Barrie); kept separate - override if they are one club
1.0,same-name-different-city,Ontario,Simcoe United,Simcoe,"census-2026-07,league-harvest",Simcoe United,Barrie/Markham/Caledon/Orillia (roster drew from these areas),league-harvest,https://simcoeunitedbasketball.com/juel/,,,
1.0,same-name-different-city,Ontario,Canada Topflight Academy (CTA),Toronto,census-2026-07,"Canada Topflight Academy (Gold, Red)",Ottawa,ontario-circuit-list,,distinct,auto-rule,both are census municipalities (Toronto / Ottawa); kept separate - override if they are one club
1.0,same-name-different-city,Ontario,F.O.R.M. Basketball Academy,Scarborough,census-2026-07,F.O.R.M. Basketball Academy,Vancouver,ontario-circuit-list,,,,
1.0,same-name-different-city,Ontario,Strive Hoops,Slave Lake,"census-2026-07,league-harvest",Strive Hoops,London,ontario-circuit-list,,distinct,auto-rule,both are census municipalities (Slave Lake / London); kept separate - override if they are one club
