club_name,province,city,city_source,region,website,email,phone,leagues,type,lat,lon,postal_code,place_id,geo_precision,social,contact_person,contact_note,website_status,address,formatted_address,leader,sources,source_count,row_count,oba_affiliated,team_derived,aliases,evidence_url,claimable,domain_claim_ok,domain_claim_reason,last_verified,stale,audience,needs_review
AB Elite Basketball Club,Alberta,Camrose,source,Rest of Alberta,https://www.instagram.com/alberta.elite/,rcowan04@gmail.com,780-678-9405,,private club,,,,,,,,,,,,,census-2026-07,1,1,,,AB Elite Basketball Club,https://www.abbasketball.ca/content/Alberta-Club-Map,yes,,unverified-single-source-non-ca,2026-07,,youth,
ACE Basketball (formerly Gotham Basketball Academy / Gotham Hoops),Alberta,Calgary,source,Calgary metro,https://gothambasketballacademy.ca/,info@acebasketball.ca,403-465-0743,AYBC — Alberta Youth Basketball Clubs circuit; AYBC — Association of Alberta Youth Basketball Clubs,private academy / elite club,,,,,,"Facebook (found via search, handle unconfirmed: facebook.com/61553107808621)",,"Search results state ACE Basketball is based in Toronto, ON and co-hosts the Canada Hoops Circuit National Championships — matches the input league. However this environment could not resolve acebaske",,,,,"census-2026-07,tier3-search",2,2,,,ACE Basketball | ACE Basketball (formerly Gotham Basketball Academy / Gotham Hoops),https://gothambasketballacademy.ca/,yes,yes,canadian-tld,2026-07,,youth,
Airdrie Minor Basketball Association (AMBA),Alberta,Airdrie,source,"Calgary metro, AB",https://airdriebasketball.ca,info@airdriebasketball.ca,,Alberta Basketball Youth Provincials (YP); CMBA Fall/Winter League; CMBA Spring League,community nonprofit (CMBA zone association),,,,,,FB @airdrieminorbasketball; IG @airdrieminorbasketball,,,,,,,"census-2026-07,website-scrape",2,2,,,Airdrie Minor Basketball Association (AMBA),https://airdriebasketball.ca/executive,yes,yes,canadian-tld,2026-07,,youth,
AL Elite Hoops,Alberta,Edmonton,source,"Edmonton metro, AB",https://alelitehoops.ca/,al.elitehoops@gmail.com,(780) 982-7112,,private academy,,,,,,,,,,,,,census-2026-07,1,1,,,AL Elite Hoops,https://alelitehoops.ca/,yes,yes,canadian-tld,2026-07,,youth,
Alberta Shooting Stars Basketball,Alberta,Calgary,source,"Calgary metro, AB",http://albertashootingstars.com,albertashootingstars@gmail.com,403-803-4403,AYBC — Alberta Youth Basketball Clubs circuit; AYBC — Association of Alberta Youth Basketball Clubs,community nonprofit (girls-only),,,,,,,,,,,,,census-2026-07,1,1,,,Alberta Shooting Stars Basketball,http://albertashootingstars.com,yes,,unverified-single-source-non-ca,2026-07,,youth,
Alonzolutions Basketball (A'z Basketball),Alberta,Calgary,source,Calgary metro (Calgary + Okotoks),https://alonzolutions.ca/,,,CMBA Fall/Winter League,private academy / club,,,,,,,,,,,,,census-2026-07,1,1,,,Alonzolutions Basketball (A'z Basketball),https://alonzolutions.ca/,,yes,canadian-tld,2026-07,,youth,
Apex Athlete Development (Apex Basketball),Alberta,Ponoka,source,Rest of Alberta,https://www.apexathletedevelopment.ca/,,,Alberta Basketball Youth Provincials,private academy,,,,,,,,,,,,,census-2026-07,1,1,,,Apex Athlete Development (Apex Basketball),https://abbasketball.ca/content/2022-2023-clubs-amp-community-groups-in-good-standing,,yes,canadian-tld,2026-07,,youth,
Ascend Basketball Academy,Alberta,Red Deer,source,Rest of Alberta,,officialascendbasketball@gmail.com,403-307-7573,AYBC — Association of Alberta Youth Basketball Clubs; AYBC — Association of Alberta Youth Basketball Clubs (member),private academy,,,,,,,,,,,,,census-2026-07,1,1,,,Ascend Basketball Academy,https://www.aybc.ca/2020-club-members-1/ascend-basketball-academy,yes,,no-website,2026-07,,youth,
Aurora North Basketball Academy,Alberta,Grande Prairie,source,Rest of Alberta,https://www.facebook.com/profile.php?id=61551046507977,auroranorthbasketball@gmail.com,,,private academy,,,,,,,,,,,,,census-2026-07,1,1,,,Aurora North Basketball Academy,https://gpsportconnect.ca/sport-registration/,yes,,unverified-single-source-non-ca,2026-07,,youth,
Badlands Basketball Club,Alberta,Medicine Hat,source,Southeastern Alberta,https://www.badlandsbasketball.com/,badlandsbasketball0@gmail.com,403-977-4545,AYBC — Association of Alberta Youth Basketball Clubs; Spring club tournament circuit,private competitive club (est. 2013),,,,,,,,,,,,,census-2026-07,1,1,,,Badlands Basketball Club,https://www.badlandsbasketball.com/copy-of-our-program,yes,,unverified-single-source-non-ca,2026-07,,youth,
