verdict,shared_via,shared_value,n_clubs,clubs,cities,provinces,multi_city,decision,reviewer,notes
DUPLICATE,email,coaches@formbasketball.com,3,F.O.R.M. Basketball | F.O.R.M. Basketball Academy | F.O.R.M. Basketball Academy,Scarborough | Vancouver,British Columbia | Ontario,yes,,,
DUPLICATE,email,sweatacademy@gmail.com,3,Sweat Academy (Capital City / Western Valley / Madawaska-Victoria branches) | Sweat Academy (Sweat Academy Athlete Development Inc.) | Sweat Academy Player Development Inc.,Fredericton / Woodstock / Edmundston (HQ Moncton) | Moncton,New Brunswick,yes,,,
DUPLICATE,email,team@ce23basketball.com,3,CE23 Academy | CE23 Academy | CE23 Academy (CE23 Basketball),Newfoundland | Paradise,Newfoundland & Labrador,yes,,,
DUPLICATE,phone,6137972089,3,Canada Topflight Academy (CTA) | Canada Topflight Academy (Tony House's club) | Canada Topflight Academy (Tony House's club),Ottawa ON | Toronto,Ontario,yes,,,
DUPLICATE,email,hello@stachamilton.ca,3,Hamilton Elite | Hamilton Elite Prep | Hamilton Elite Team,Hamilton | Hamilton ON,Ontario,yes,,,
DUPLICATE,email,admissions@royalcrownschool.com,3,Royal Crown | Royal Crown Academic School | Royal Crown School,Scarborough | Toronto,Ontario,yes,,,
DUPLICATE,email,elopez@soldiersbasketball.ca,3,TC Soldiers | Tri-County Soldiers | Tri-County Soldiers BC,K-W/Cambridge/Guelph | Waterloo/Kitchener ON,Ontario,yes,,,
DUPLICATE,email,westunitedprepacademy@gmail.com,3,West United | West United Prep | West United Prep Academy,Halton (Oakville/Burlington) ON | city unconfirmed,Ontario,yes,,,
DUPLICATE,email,homecourtbasketball@gmail.com,3,SaskHomeCourt Basketball | Soldiers Basketball (Soldiers Academy) | Soldiers Basketball Academy (SaskHomecourt),Regina | Saskatoon,Saskatchewan,yes,,,
DUPLICATE,email,registrar@thunderbasketball.ca,2,Calgary Thunder Basketball Club | NCBC Thunder Basketball (North Central Basketball Club),Calgary,Alberta,,,,
DUPLICATE,email,edsonminorbasketball@gmail.com,2,Edson Minor Basketball (Edson Raiders) | Edson Raiders Basketball,Edson,Alberta,,,,
DUPLICATE,email,dipahasan@gmail.com,2,Misfits | Misfits Basketball,Calgary,Alberta,,,,
DUPLICATE,email,info@nwebc.ca,2,NorthWest Edmonton Ballers Club (NWEBC) | NW Edmonton Ballers Club (Elite Knights),Edmonton,Alberta,,,,
DUPLICATE,phone,4038600062,2,Prolific Sports Academy (PSA Prep) | Prolific Sports House,Calgary,Alberta,,,,
DUPLICATE,email,aweir20@gmail.com,2,Sixers | Sixers Basketball,Calgary,Alberta,,,,
DUPLICATE,email,mark@visionbasketball.ca,2,Vision Basketball Academy | Vision Basketball Academy,Calgary | Okotoks,Alberta,yes,,,
DUPLICATE,email,hello@visioneliteacademy.org,2,Vision Elite Academy (Calgary programs) | Vision Elite Academy — Winnipeg,Calgary | Winnipeg,Alberta | Manitoba,yes,,,
DUPLICATE,phone,6047998035,2,Chilliwack Basketball Association | Chilliwack Basketball Club,Chilliwack,British Columbia,,,,
DUPLICATE,email,cmntyelite@gmail.com,2,Community Elite | Community Elite,Richmond | Vancouver,British Columbia,yes,,,
DUPLICATE,email,elevateyourgame.info@gmail.com,2,ELEVATE Basketball | ELEVATE Basketball Inc.,Langley | Surrey (South Surrey / White Rock),British Columbia,yes,,,
DUPLICATE,email,info@excelbasketball.com,2,Excel Basketball | Excel Basketball,Port Coquitlam | Surrey,British Columbia,yes,,,
DUPLICATE,email,dani@goodwinhoops.com,2,Goodwin Hoops (GW Hoops) | GW Hoops (GoodWin Hoops),Kelowna,British Columbia,,,,
DUPLICATE,email,jhawksbasketballprogram@gmail.com,2,J-Hawks Basketball Program (Kootenay Basketball) | Kootenay Basketball / J-Hawks Basketball Program,Castlegar,British Columbia,,,,
DUPLICATE,email,info@pantherhoops.ca,2,Panther Hoops | Panther Hoops,Coquitlam | Port Coquitlam,British Columbia,yes,,,
DUPLICATE,email,revolutionbball@gmail.com,2,Revolution Basketball Club | Revolution Basketball Club,Abbotsford | Maple Ridge,British Columbia,yes,,,
DUPLICATE,phone,6043475151,2,Shooting Stars | Shooting Stars Basketball,Richmond | Surrey,British Columbia,yes,,,
DUPLICATE,email,info@basketball.bc.ca,2,Steve Nash Youth Basketball — Nanaimo | Steve Nash Youth Basketball — Powell River,Nanaimo | Powell River,British Columbia,yes,,,
DUPLICATE,email,cheungg@brandonu.ca,2,Brandon Bobcats Basketball Academy (Brandon University Bobcats youth programs) | Jr Bobcats Basketball Club (Brandon University),Brandon,Manitoba,,,,
DUPLICATE,email,thomasn@brandonu.ca,2,Junior Bobcats Basketball (Brandon University) | Junior Bobcats Basketball / Bobcats Basketball Academy (Brandon University),Brandon,Manitoba,,,,
DUPLICATE,email,selkirkroyalsbb@outlook.com,2,Junior Royals Basketball Club (Selkirk) | Selkirk Junior Royals Basketball Club,Selkirk,Manitoba,,,,
DUPLICATE,email,office@kwcc.net,2,Kirkfield Westwood Community Centre — Basketball | Kirkfield Westwood Community Club — Basketball,Winnipeg,Manitoba,,,,
DUPLICATE,email,prairiebasketballleague@gmail.com,2,Prairie Basketball League (PBL) / PBL Select | Prairie Basketball League (PBL) — league operator & PBL Select club teams,Niverville area (Eastman/Central region) | Steinbach,Manitoba,yes,,,
DUPLICATE,email,btbdhoops@gmail.com,2,Relentless Basketball (BTBD Hoops x Relentless) | Relentless Basketball / BTBD Hoops,West St. Paul (Winnipeg metro) | Winnipeg,Manitoba,yes,,,
