municipality,province,population,clubs_found,priority
Norfolk County,Ontario,67490,0,high
Mirabel,Quebec,61108,0,high
Whitchurch-Stouffville,Ontario,49864,0,high
Haldimand County,Ontario,49216,0,high
Georgina,Ontario,47642,0,high
Quinte West,Ontario,46560,0,high
Vaudreuil-Dorion,Quebec,43268,0,high
Salaberry-de-Valleyfield,Quebec,42787,0,high
Val-d'Or,Quebec,32752,0,high
LaSalle,Ontario,32721,0,high
North Cowichan,British Columbia,31990,0,high
Chambly,Quebec,31444,0,high
Sainte-Julie,Quebec,30045,0,high
Saint-Constant,Quebec,29954,0,high
Boisbriand,Quebec,28308,0,high
Whitehorse,Yukon,28201,0,high
Conception Bay South,Newfoundland and Labrador,27168,0,high
Woolwich,Ontario,26999,0,high
Clarence-Rockland,Ontario,26505,0,high
Lunenburg,Nova Scotia,25545,0,high
Wasaga Beach,Ontario,24862,0,medium
Thorold,Ontario,23816,0,medium
Amherstburg,Ontario,23524,0,medium
L'Assomption,Quebec,23442,0,medium
Oro-Medonte,Ontario,23017,0,medium
Essa,Ontario,22970,0,medium
"Kings, Subd. A",Nova Scotia,22355,0,medium
White Rock,British Columbia,21939,0,medium
Springwater,Ontario,21701,0,medium
Scugog,Ontario,21581,0,medium
Uxbridge,Ontario,21556,0,medium
Wilmot,Ontario,21429,0,medium
Joliette,Quebec,21384,0,medium
Essex,Ontario,21216,0,medium
Yellowknife,Northwest Territories,20340,0,medium
South Frontenac,Ontario,20188,0,medium
Rivière-du-Loup,Quebec,20118,0,medium
Saint-Augustin-de-Desmaures,Quebec,19907,0,medium
"Colchester, Subd. B",Nova Scotia,19806,0,medium
Westmount,Quebec,19658,0,medium
Kirkland,Quebec,19413,0,medium
Dorval,Quebec,19302,0,medium
Beaconsfield,Quebec,19277,0,medium
Middlesex Centre,Ontario,18928,0,medium
Mont-Saint-Hilaire,Quebec,18859,0,medium
Selwyn,Ontario,18653,0,medium
Petawawa,Ontario,18160,0,medium
Sainte-Sophie,Quebec,18080,0,medium
North Grenville,Ontario,17964,0,medium
Loyalist,Ontario,17943,0,medium
Deux-Montagnes,Quebec,17915,0,medium
Saint-Colomban,Quebec,17740,0,medium
Sainte-Catherine,Quebec,17347,0,medium
Bracebridge,Ontario,17305,0,medium
Port Hope,Ontario,17294,0,medium
Hanover,Manitoba,17216,0,medium
L'Ancienne-Lorette,Quebec,16970,0,medium
Greater Napanee,Ontario,16879,0,medium
Springfield,Manitoba,16142,0,medium
Tracadie,New Brunswick,16043,0,medium
Saugeen Shores,Ontario,15908,0,medium
Cold Lake,Alberta,15661,0,medium
North Perth,Ontario,15538,0,medium
West Lincoln,Ontario,15454,0,medium
Cowansville,Quebec,15234,0,medium
Sainte-Anne-des-Plaines,Quebec,15221,0,medium
Gaspé,Quebec,15063,0,medium
Kenora,Ontario,14967,0,medium
Brooks,Alberta,14924,0,medium
Clearview,Ontario,14814,0,medium
Pincourt,Quebec,14751,0,medium
Mississippi Mills,Ontario,14740,0,medium
St. Clair,Ontario,14659,0,medium
Mercier,Quebec,14626,0,medium
West Nipissing / Nipissing Ouest,Ontario,14583,0,medium
Severn,Ontario,14576,0,medium
High River,Alberta,14324,0,medium
Mont-Laurier,Quebec,14180,0,medium
Lachute,Quebec,14100,0,medium
Sainte-Adèle,Quebec,14010,0,medium
Matane,Quebec,13987,0,medium
Thames Centre,Ontario,13980,0,medium
Trent Hills,Ontario,13861,0,medium
Central Elgin,Ontario,13746,0,medium
Dolbeau-Mistassini,Quebec,13718,0,medium
Prévost,Quebec,13692,0,medium
Parksville,British Columbia,13642,0,medium
Beauharnois,Quebec,13638,0,medium
South Stormont,Ontario,13570,0,medium
Bécancour,Quebec,13561,0,medium
Lacombe,Alberta,13396,0,medium
The Nation / La Nation,Ontario,13350,0,medium
