candidate,province,leagues,team_entries,last_verified,source,closest_known_club,closest_score,evidence_url,decision,reviewer,notes
EY Eagles,Ontario,OBL,23,,obl-teams,EM Elite,0.588,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
NT Huskies,Ontario,OBL,22,,obl-teams,North Toronto Basketball Association (NTBA),0.645,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Blitz,Ontario,OBL,13,,obl-teams,,,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
CW Celtics,Ontario,OBL,12,,obl-teams,County Clippers,0.4,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
SCNYB,Ontario,OBL,9,,obl-teams,,,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
HOF HUSTLE,Ontario,OBL,8,,obl-teams,Haldimand Huskies,0.444,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Oakville Venom,Ontario,OBL,7,,obl-teams,Oakville Prep,0.741,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Orangeville Bears,Ontario,OBL,7,,obl-teams,Orangeville Hawks,0.824,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Game6 Lions,Ontario,OBL,7,,obl-teams,Game 6 Sports Academy,0.5,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Golden Eagles,Ontario,OBL,7,,obl-teams,Gators Elite,0.48,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
MILTON STAGS RED,Ontario,OBL,6,,obl-teams,Milton Stags,0.857,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
New Horizon Heat,Ontario,OBL,6,,obl-teams,New Horizon Basketball Academy,0.737,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Grassroots Elite RED,Ontario,OBL,6,,obl-teams,Grassroots Elite,0.889,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Nepean,Ontario,OBL,5,,obl-teams,Nepean Blue Devils,0.5,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
LaSalle Guardians,Ontario,OBL,5,,obl-teams,,,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Union Next Man Up,Ontario,OBL,4,,obl-teams,Union Elite Basketball,0.571,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Momentum Orange,Ontario,OBL,4,,obl-teams,Momentum Basketball,0.696,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
KWGBA Phoenix,Ontario,OBL,4,,obl-teams,Kitchener-Waterloo Girls Basketball Association,0.267,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Grimsby Grizzlies,Ontario,OBL,4,,obl-teams,Grimsby Basketball Association,0.426,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
#REF!,Ontario,OBL,4,,obl-teams,,,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
London Gold Medal,Ontario,OBL,4,,obl-teams,London Royals,0.667,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
BALL905,Ontario,OBL,3,,obl-teams,Ball905 Elite,0.7,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
HOOPSTARS,Ontario,OBL,3,,obl-teams,Hooptrotters (OGs/5Gs),0.667,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Brantford CYO,Ontario,OBL,3,,obl-teams,Brantford CYO Boys,0.85,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
MILTON STAGS WHITE,Ontario,OBL,3,,obl-teams,Milton Stags,0.85,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Napanee Hawks,Ontario,OBL,3,,obl-teams,Northern Hoops,0.37,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
MUMBA ELITE,Ontario,OBL,3,,obl-teams,MT Elite,0.737,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Owen Sound,Ontario,OBL,3,,obl-teams,Owen Sound Minor Basketball,0.85,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
RSB Association,Ontario,OBL,3,,obl-teams,RSB Elite,0.5,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
ONLX,Ontario,OBL,3,,obl-teams,,,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Grassroots,Ontario,OBL,3,,obl-teams,Grassroots Elite,0.769,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Lambton Lions,Ontario,OBL,3,,obl-teams,,,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
TCBL Dragons - coach Navid,Ontario,OBL,2,,obl-teams,TCBL Basketball,0.519,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
MUMBA ELITE - VARNAN,Ontario,OBL,2,,obl-teams,Markham Unionville Minor Basketball Association (MUMBA),0.277,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
KWGBA Phoenix WHITE,Ontario,OBL,2,,obl-teams,Kitchener-Waterloo Girls Basketball Association,0.242,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
KWGBA Phoenix NAVY,Ontario,OBL,2,,obl-teams,Kitchener-Waterloo Girls Basketball Association,0.246,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
GBA Teran,Ontario,OBL,2,,obl-teams,Gators Basketball Academy,0.533,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
TCBL Dragons - coach Devon,Ontario,OBL,2,,obl-teams,TCBL Basketball,0.519,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
DC Storm,Ontario,OBL,2,,obl-teams,D3P Sports (D3P Basketball),0.556,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Toronto Lords Johnson,Ontario,OBL,2,,obl-teams,Toronto Lords Basketball,0.85,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Orillia,Ontario,OBL,2,,obl-teams,Orillia Lakers,0.667,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Peterborough Power Palmer,Ontario,OBL,2,,obl-teams,Peterborough City Basketball Club,0.552,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Grassroots Elite BLACK,Ontario,OBL,2,,obl-teams,Grassroots Elite,0.85,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Burloak Elite Allen,Ontario,OBL,2,,obl-teams,Burloak Elite,0.85,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Union Elite Bam,Ontario,OBL,2,,obl-teams,Union Elite Basketball,0.85,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Brampton Warriors U12B,Ontario,OBL,2,,obl-teams,Brampton Minor Basketball (BMBA),0.872,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Brooklin BTSO Elite,Ontario,OBL,2,,obl-teams,,,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
RISING SUNS KINGS,Ontario,OBL,2,,obl-teams,Rising Stars,0.621,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
MUMBA ELITE - TORRES,Ontario,OBL,2,,obl-teams,Markham Unionville Minor Basketball Association (MUMBA),0.277,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Toronto Nets,Ontario,OBL,2,,obl-teams,Toronto Phantoms,0.786,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Ballmatics,Ontario,OBL,2,,obl-teams,Ballmatics Academy,0.714,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Peterborough Power Handa,Ontario,OBL,2,,obl-teams,Peterborough Youth Basketball Association,0.554,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
DC Bulldogs,Ontario,OBL,2,,obl-teams,DC United - HGSL,0.56,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Truth-Brothers Keepers,Ontario,OBL,2,,obl-teams,,,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Port Colborne Hornets,Ontario,OBL,2,,obl-teams,Port Colborne Youth Basketball,0.667,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
KW Viper Quigley,Ontario,OBL,2,,obl-teams,KW Vipers,0.64,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Oshawa Commanders,Ontario,OBL,2,,obl-teams,Ottawa Capitals,0.5,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
GTA Mavericks- Reid,Ontario,OBL,2,,obl-teams,GTA Mavericks,0.85,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
MUMBA ELITE - GUTIERREZ,Ontario,OBL,2,,obl-teams,Markham Unionville Minor Basketball Association (MUMBA),0.276,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Momentum Navy,Ontario,OBL,2,,obl-teams,Momentum Basketball,0.762,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
NRBA Crazy Catz,Ontario,OBL,2,,obl-teams,NRBA,0.421,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Cooksville CKATT,Ontario,OBL,2,,obl-teams,CKATT / Cooksville,0.625,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Union Elite Marv,Ontario,OBL,2,,obl-teams,Union Elite Basketball,0.85,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Brampton Warriors U14B,Ontario,OBL,2,,obl-teams,Brampton Minor Basketball (BMBA),0.872,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
SBA Team McPherson DB,Ontario,OBL,2,,obl-teams,Scarborough Basketball Association (SBA),0.5,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
BWT Rebels,Ontario,OBL,2,,obl-teams,Barrie Royals,0.435,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
South Simcoe Sonics,Ontario,OBL,2,,obl-teams,South Simcoe Basketball Club,0.638,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
NRBA Blue Mad Dogz,Ontario,OBL,2,,obl-teams,NRBA,0.364,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Burloak Elite Nate,Ontario,OBL,2,,obl-teams,Burloak Elite,0.85,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
DC Chameleons,Ontario,OBL,2,,obl-teams,Dream Chaserzzz,0.429,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Brampton Warriors U14G,Ontario,OBL,2,,obl-teams,Brampton Minor Basketball (BMBA),0.872,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
.button.primary-button:active,Ontario,OBL,2,,obl-teams,,,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
.button.primary-button:focus,Ontario,OBL,2,,obl-teams,,,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
.login,Ontario,OBL,2,,obl-teams,,,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
