province,club_a,city_a,contact_a,club_b,city_b,contact_b,shared_words,complementary,same_contact,verdict,reviewer,notes
Ontario,Burloak Basketball,,info@burloakbasketball.com,Burloak Elite,Burlington/Oakville,info@burloakbasketball.com,burloak,,yes,,,
Ontario,CALI,,contact@caliprepacademy.com,CALI Prep Academy,Pickering,contact@caliprepacademy.com,cali,,yes,,,
Ontario,Collective Elite Academy,Brampton,info@thecollectiveelite.ca,The Collective Elite Basketball Association,,info@thecollectiveelite.ca,collective,,yes,,,
Ontario,Eastern Basketball Academy,,info@easternbasketball.ca,Eastern Basketball Association,Oshawa / Pickering / Ajax / Whitby / Clarington,info@easternbasketball.ca,eastern,,yes,,,
Ontario,Gators Basketball Academy (Markham Gators),Durham Region ON,contactgatorsacademy@gmail.com,Gators Elite,,contactgatorsacademy@gmail.com,gators,,yes,,,
Ontario,Kemptville,Kemptville,info@kemptvillewarriors.ca,Kemptville Warriors,,info@kemptvillewarriors.ca,kemptville,,yes,,,
British Columbia,Panther Hoops,Coquitlam,info@pantherhoops.ca,Panther Hoops,Port Coquitlam,info@pantherhoops.ca,panther,,yes,,,
Ontario,RSB,,rsbelite@gmail.com,RSB Elite,,rsbelite@gmail.com,rsb,,yes,,,
Ontario,Royal Crown,,admissions@royalcrownschool.com,Royal Crown Academic School,Scarborough,admissions@royalcrownschool.com,crown,,yes,,,
Ontario,Royal Crown,,admissions@royalcrownschool.com,Royal Crown School,Toronto,admissions@royalcrownschool.com,crown,,yes,,,
Ontario,Silver Knights,,ysskbc@gmail.com,York South Silver Knights,Richmond Hill/Markham ON,ysskbc@gmail.com,knights silver,,yes,,,
Ontario,St. Jude's Basketball,,admissions@stjudesacademy.ca,St. Jude's Prep,Mississauga,admissions@stjudesacademy.ca,jude,,yes,,,
Ontario,Top Tier,,torontotoptierhoops@gmail.com,Toronto Top Tier,Etobicoke,torontotoptierhoops@gmail.com,tier top,,yes,,,
Ontario,Windsor Suns Elite Basketball,Windsor,renevillavecer@yahoo.com,WPA Suns,,renevillavecer@yahoo.com,suns,,yes,,,
Ontario,York North Basketball Association,Newmarket ON,admin@ynba.ca,York Region Elite,,admin@ynba.ca,york,,yes,,,
Ontario,416 United,Toronto,416basketballto@gmail.com,DC United,,,united,yes,,,,
Ontario,416 United,Toronto,416basketballto@gmail.com,Team 416,Toronto,,416,yes,,,,
New Brunswick,506 Elevate Basketball (formerly 506 Shamrocks),Moncton,,506 Elite (TH Sports Group),Moncton,(506) 378-2880,506,yes,,,,
Quebec,Académie d'Alma (Alma Prep),Alma QC,eric.benoit@collegealma.ca,L'Académie d'Alma,Alma,,academie,yes,,,,
Ontario,Ace Acumen Heights Academy,Toronto (Don Mills) + Brampton,admissions@aahs.ca,ACE Basketball,,,ace,yes,,,,
Ontario,All-In,,,HOOPS All-Star Basketball Inc.,Sarnia,hoops.office@hoopsallstar.ca,all,yes,,,,
Ontario,Alpha Elite,,,Alpha Elite Sports Group,Toronto ON,contact@alphaelitesportsgroup.com,alpha,yes,,,,
Ontario,Ancaster Basketball Club (Magic),,,Ancaster Magic Basketball,Ancaster,ancastermagic@gmail.com,ancaster,yes,,,,
Ontario,BGC Peel (Boys and Girls Club of Peel),Mississauga/Brampton/Caledon,,Peel Elite,Mississauga/Brampton,peelelite.basketball@gmail.com,peel,yes,,,,
Ontario,Bounce Elite,,,CIA Bounce / Nike EYBL,Toronto (GTA-wide),ciabounce@gmail.com,bounce,yes,,,,
Ontario,Brian Owusu Academy,,,iDream by Brian Owusu Academy (BOA),Toronto ON,brianowusuacademy@gmail.com,brian owusu,yes,,,,
Ontario,Canadian Basketball Academy,Toronto,(416) 993-9536,Canadian Private School,,,canadian,yes,,,,
Ontario,Cathedral,,,Cathedral High School,Hamilton,chs@hwcdsb.ca,cathedral,yes,,,,
Ontario,Clippers,,,County Clippers,"Eli Carlone, rep",info@countyclippers.ca,clippers,yes,,,,
Ontario,Clippers,,,Prince Edward County Clippers,Prince Edward County,info@countyclippers.ca,clippers,yes,,,,
Ontario,Cornwall & United Counties Basketball Association (Lions),Cornwall,lionscornwall@gmail.com,DC United,,,united,yes,,,,
Ontario,DC United,,,West United Prep,city unconfirmed,westunitedprepacademy@gmail.com,united,yes,,,,
Ontario,DC United,,,West United Prep Academy,Halton (Oakville/Burlington) ON,westunitedprepacademy@gmail.com,united,yes,,,,
Ontario,DC United,,,Windsor United,Windsor,info@windsorunited.ca,united,yes,,,,
Ontario,DFam United,,,West United Prep,city unconfirmed,westunitedprepacademy@gmail.com,united,yes,,,,
Ontario,DFam United,,,West United Prep Academy,Halton (Oakville/Burlington) ON,westunitedprepacademy@gmail.com,united,yes,,,,
Ontario,DFam United,,,Windsor United,Windsor,info@windsorunited.ca,united,yes,,,,
Ontario,Durham Basketball Club,Durham,durhambasketballclub@gmail.com,Durham Crossover Basketball,,,durham,yes,,,,
Ontario,Durham Basketball Club,Durham,durhambasketballclub@gmail.com,Durham Force,,,durham,yes,,,,
Ontario,Durham City Basketball Association,Ajax/Pickering/Whitby/Oshawa,info@durhamcitybasketball.ca,Durham Crossover Basketball,,,durham,yes,,,,
Ontario,Durham City Basketball Association,Ajax/Pickering/Whitby/Oshawa,info@durhamcitybasketball.ca,Durham Force,,,durham,yes,,,,
British Columbia,EK Hoops Training,Surrey,,X.V. Training Academy,Surrey,info@xvtrainingacademy.com,training,yes,,,,
Ontario,East York Basketball,Toronto (East/Beaches),info@eastyorkbasketball.com,North York Pinoy Athletic Association (North York Aquilas),,,york,yes,,,,
Ontario,Eastern Academy,,,Eastern Basketball Academy,,info@easternbasketball.ca,eastern,yes,,,,
Ontario,Eastern Academy,,,Eastern Basketball Association,Oshawa / Pickering / Ajax / Whitby / Clarington,info@easternbasketball.ca,eastern,yes,,,,
Ontario,Eastern Academy,,,YMCA of Eastern Ontario Brockville,Brockville,mike_dewitt@kingston.ymca.ca,eastern,yes,,,,
Ontario,Eastern Academy,,,YMCA of Eastern Ontario Kingston,Kingston,mike_dewitt@kingston.ymca.ca,eastern,yes,,,,
Ontario,Eastern Basketball Academy,,info@easternbasketball.ca,Eastern Earthquakes,"Eastern Ontario, inferred from name",,eastern,yes,,,,
Ontario,Eastern Basketball Academy,,info@easternbasketball.ca,Eastern Ontario Basketball League (EOBL),Eastern Ontario (Ottawa area),,eastern,yes,,,,
Ontario,Edge Basketball,,,Edge School (Edge Varsity/Prep),Calgary AB,403-246-6432,edge,yes,,,,
Ontario,Edge School (Edge Varsity/Prep),Calgary AB,403-246-6432,Edge Varsity,,,edge,yes,,,,
Ontario,Gators Elite,,contactgatorsacademy@gmail.com,Markham Gators,Markham,,gators,yes,,,,
Ontario,House of Legends,,contact@houseoflegends.ca,Legends Elite,,,legends,yes,,,,
Ontario,Huron Lakers,,,Orillia Lakers,Orillia,vicepresident@orillialakers.com,lakers,yes,,,,
Ontario,Innisfil Ballers,Innisfil,,Kid Ballers (Durham Region Basketball),,4165871149,ballers,yes,,,,
Ontario,Inter-City Saints,,,Tecumseh Saints Basketball Association,Tecumseh,admin@tecumsehsaintsbasketball.com,saints,yes,,,,
Ontario,K9 Elite Hoopers,,infok9elite@gmail.com,Little Hoopers (New Tecumseth Jr NBA Basketball Program),Alliston,,hoopers,yes,,,,
Alberta,Magrath Rockets / Pandas,Magrath,403-758-3366,Magrath youth basketball (Magrath Rockets / Magrath Pandas),Magrath,,magrath,yes,,,,
Ontario,Nexus Wolves,,,Thunder Bay Jr. Wolves,Thunder Bay,wolvesclubbasketball@gmail.com,wolves,yes,,,,
Ontario,Nexus Wolves,,,Toronto Wolves Basketball Club,Toronto,705-626-5187,wolves,yes,,,,
Ontario,Niagara Falls Red Raiders,Niagara Falls,nfredraiders@gmail.com,Raiders Basketball,,,raiders,yes,,,,
Ontario,North Toronto Basketball + Scarborough Blues (joint 'GTA' JUEL/JUEL franchise),Toronto/Scarborough (GTA),,Scarborough Basketball Association,Scarborough,info@sbablues.ca,scarborough,yes,,,,
Ontario,North Toronto Basketball + Scarborough Blues (joint 'GTA' JUEL/JUEL franchise),Toronto/Scarborough (GTA),,Scarborough Prep,Scarborough,647-693-8929,scarborough,yes,,,,
Ontario,North York Pinoy Athletic Association (North York Aquilas),,,York North Basketball Association,Newmarket ON,admin@ynba.ca,york,yes,,,,
Ontario,North York Pinoy Athletic Association (North York Aquilas),,,York Region Elite,,admin@ynba.ca,york,yes,,,,
Ontario,Northern Hoops,,,Northern Kings,,contact@kingnationbasketball.com,northern,yes,,,,
Ontario,NuStep Basketball,,,Toronto NuStep Ballers / NuStep Basketball,Toronto,info@nustep.ca,nustep,yes,,,,
Ontario,Ottawa Capitals,Ottawa,,Ottawa Capitals JUEL,Ottawa ON,capitalregionjuel@gmail.com,capitals,yes,,,,
