league,operator,province,route,route_type,access,clubs_found,status,notes
[directory] Ontario Basketball Association – Registered Teams,,Ontario,https://basketball.on.ca/competitions/registered-teams/,directory,public,0,OPEN,Filter UI (Club / Age Group / Gender) that hands off to an external SportsAvvy-powered registration portal; no static list of club names visible.
[directory] Ontario Basketball Association – Annual Reports (PDF archive),,Ontario,https://basketball.on.ca/about-us-2/annual-report/,directory,public,0,OPEN,"PDF annual reports (e.g. 2022-23, 2018-19) exist and were located but not opened/read in this sweep. OBA states ~175-180 affiliated clubs/year; these reports may contain an appendi"
[directory] Niagara District Basketball [Referees/Officials] Association – links page,,Ontario,http://ndbra.com/links.html,directory,blocked,0,OPEN,Site serves over an obsolete/unsupported TLS configuration — WebFetch failed with 'UNSUPPORTED_PROTOCOL'. Surfaced only in search snippets; never actually read. Likely a dead or ne
[directory] Jr. NBA Canada – Find a Community / Find Your Program,,Ontario,https://www.jrnba.ca/the-program/find-your-program,directory,blocked,0,OPEN,This was expected to be Ontario's equivalent of the Saskatchewan TeamLinkt SKY Basketball communities page (which yielded 27 clubs there). Fetched twice under different URLs (jrnba
OBL division schedules (team level),Ontario Basketball (OBA),Ontario,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,Google Sheets CSV export,public,653,PARTIAL,"1256 team entries over 19 divisions; U15 Boys + U15 Girls sheets return 401 (not publicly shared, NOT bypassed); club stems are noisy and land in discoveries.csv for review"
OBL / OBA affiliated clubs,Ontario Basketball (OBA),Ontario,https://www.google.com/maps/d/kml?mid=1jf36n-Sx3O1KSIlSjRcGu-JABLNcyUgo&forcekml=1,Google My Maps KML,public,187,CLOSED,"Single unauthenticated GET, all 8 OBA regions, incl. website/email/coords"
CYBL (Canadian Youth Basketball League),"Canadian Youth Basketball League Inc., founded 2014 by Shane James (President/Founder). Since Aug 6 2021, top teams also feed into the joint Ontario Basketball Super League (OBA + CYBL + Hoop City).",Ontario,"https://www.cybl.ca/ (homepage renders 'Middle School Teams' and 'High School Teams' nav sections with full team rosters client-side); division/standings sub-pages (e.g. https://www.cybl.ca/standings/show/...) 404 on direct fetch and the note that SportsEngine sub-pages 403 was CONFIRMED for at least one path we tried, but the homepage itself is public and lists every team by division.",league site / Exposure / social,public,66,CLOSED,"CYBL is real and large (Under Armour-sponsored, Grade 3-12). The homepage at www.cybl.ca (SportsEngine platform) publicly renders two full team directories, 'Middle School Teams' and 'High School Teams', which we capture"
Phoenix League,"Phoenix Hoops, run by Jeremiah Wheatle (contact 647-764-6473, Phxbasketball1@gmail.com). Operates under the brand 'Phoenix Basketball League' with Winter and Spring/Summer seasons - this is almost certainly what our brief's contact meant by 'Phoenix League'.",Ontario,https://basketball.exposureevents.com/264611/phoenix-basketball-spring-league-2026/teams (Spring 2026); https://basketball.exposureevents.com/253193/phoenix-basketball-winter-league/teams (Winter 2025-26); https://basketball.exposureevents.com/241500/phoenix-basketball-league-spring-2025/teams (Spring 2025),league site / Exposure / social,public,49,CLOSED,"We could not find a league literally branded 'Phoenix League' - the closest and near-certain real match is 'Phoenix Basketball League', run by 'Phoenix Hoops' (Jeremiah Wheatle), which fields a Winter League and a Spring"
Toronto Big League,,Ontario,https://torontobigleague.ca,playwright,public,42,CLOSED,"MAJOR STATUS CHANGE vs. the task's baseline: torontobigleague.ca is now fully alive and public (previously reported as refusing all connections) -- rendered cleanly in Playwright with a real desktop User-Agent, 200 statu"
Jr. NBA Canada - Find Your Program (Ontario),,Ontario,https://www.jrnba.ca/the-program/find-your-program,playwright,public,40,CLOSED,The page itself renders a Storepoint.co store-locator widget (a third-party map/list finder embed) that shows 'No featured clubs were found in your area' by default because it geofilters on the visiting IP -- it is NOT a
Hoop City Basketball League (Spring/Summer 2026),,Ontario,https://www.tourneymachine.com/R180786,playwright,public,32,CLOSED,The bare R180786 short-link redirects to a SportsEngine/TourneyMachine tournament page (Tournament.aspx?IDTournament=h2026050420140144611ffbead9d704f) which DID return a 403/hang to the scripted fetch mentioned in the ta
EOBA Competitive Season (via TeamSnap Tournaments),,Ontario,https://eobahoops.com/2025-26-competitive-season,playwright + direct API,public,31,CLOSED,eobahoops.com (WordPress) itself only publishes a partial 16-name club-representative list on /about (unchanged from prior census). The actual competitive-season standings/rosters live on a TeamSnap Tournaments micro-sit
[directory] 211 Ontario (211ontario.ca) community services directory,,Ontario,https://211ontario.ca/,directory,public,15,CLOSED,"The single most productive general directory found. Individual org records are indexed and fetchable (Guelph Youth Basketball Association, Kitchener-Waterloo Youth Basketball Assoc"
ORBL (Ontario Regional Basketball League),"IEM Basketball (York Region's largest basketball org, house + REP1/REP2/All-Star programs, Newmarket/Aurora/Keswick/East Gwillimbury/Bradford). Established 2013 per iembasketball.com's own ORBL page (our brief says 2020 - the two IEM pages we fetched disagree with each other: iembasketball.com/orbl.html says 2013, a search-engine-summarized clubLeagueInfo.php page says 2020). Contact given: Ion Marghetis, 905-836-6195.",Ontario,"https://www.iembasketball.com/clubLeagueInfo.php (2025-2026 season teams, plain PHP, publicly readable)",league site / Exposure / social,public,13,CLOSED,IMPORTANT PARENT->PROGRAM finding: ORBL today (2025-2026 season) is almost entirely IEM's OWN branch network competing against itself (IEM Newmarket / North York / Aurora / East Gwillimbury / Bradford / King City each fi
JUEL / JUEL Prep,"JUEL (Junior/Uni Elite League) of Ontario - 'Canada's first and longest-running Provincial Basketball League', established 2010 as an independent provincial league for female student-athletes grades 8-12(JUEL Prep = grades 8-10, JUEL = grades 11-12, plus a JUEL Academy tier), franchises running 'from Windsor to Ottawa and north to Barrie'.",Ontario,No single directory page found; franchise identities had to be reconstructed from each local club's own site/socials (listed below).,league site / Exposure / social,public,11,CLOSED,"We reconstructed roughly 11 named franchises/regions (GTA, Tri-County, York Region, Simcoe Muskoka/Barrie, Simcoe United, Ottawa, Niagara/Pelham, Kingston, London, Windsor, Hamilton) against the stated total of 12, from "
"[directory] CIOC / OpenCIOC regional community-information network (peel.cioc.ca, halton.cioc.ca, niagara.cioc.ca, centraleastontario.cioc.ca, regionofwaterloo.cioc.ca, infobarrie.cioc.ca, simcoecounty.cioc.ca, orillia.cioc.ca, info-bhn.cioc.ca, etc.)",,Ontario,https://www.cioc.ca/,directory,public,8,CLOSED,"Legacy 211-affiliated regional directories, one per county/region, each with its own 'bresults.asp?SubjID=NNN' basketball-category search. Peel's (peel.cioc.ca/bresults.asp?SubjID="
[directory] Ottawa Valley Basketball Association of Basketball Officials – Links & Partners page,,Ontario,https://ovbabo.com/links-and-partners/,directory,public,8,CLOSED,An officials' association (not itself a youth club) whose partner-links page functions as a de facto small directory of Ottawa/Eastern-Ontario community basketball associations (Ka
Canada Hoops Circuit (Ontario / Central-ON Summit + Nationals),,Ontario,https://canadahoopscircuit.ca,playwright,partial,6,CLOSED,"canadahoopscircuit.ca rendered fully in Playwright, no gate on the site itself (WordPress/Elementor site, no login/CAPTCHA). Visited the homepage plus every regional summit page (/central-on-hoops-summit = Ontario, /cent"
