club,city,leagues_from_master,best_contact,tenant_slug,team_entries_censused,census_systems
"Scarborough Blues / SBA (Team {coach}, Premier)",,,,,18,Coalition
The MUMBA Mentality,,,,,18,Coalition
Burloak Elite,"Burlington, ON",NPH-SL,info@burloakbasketball.com; 416-219-4939,burloak-elite,14,Coalition+NPH
YvY Elite (You vs You),"Waterloo/Kitchener/Guelph, ON",NPH-SL,yvybball@gmail.com; IG @yvyelitebasketball,yvy-elite,14,Coalition+NPH
Eurostep Basketball,"Etobicoke, ON",NPH-SL,647-879-8344; form (55 Horner Ave),eurostep-basketball,13,Coalition+NPH
Royal Crown,,,,,12,NPH+OSBA
City Above Elite,"GTA, ON",NJC+NPH-SL,IG @cityaboveelite,city-above-elite,11,Coalition+NJC+NPH
St. Jude's Prep,Mississauga,NPH-D1+OSBA,admissions@stjudesacademy.ca · 905-814-0277,,11,NPH+OSBA
Toronto Lords,"Toronto, ON",NPH-D1+NPH-SL+NSC,lordsbasketball@gmail.com; 416-598-4448,toronto-lords-basketball,11,Coalition+NPH+NSC
Born 2 Stand Out,,,,,9,Coalition
Brampton Warriors,Brampton,Coalition,,brampton-warriors,9,Coalition
Dragons de Gatineau (Basketball Gatineau),"Gatineau, QC",NPH-D1+NPH-SL,info@basketballgatineau.com,,9,NPH
iDream by BOA,,,,,9,Coalition
Brampton City Prep,"Brampton (facility: Etobicoke), ON",NJC+NPH-D1+NSC+OSBA,info@bramptoncityprep.com; 416-747-7208,brampton-city-prep,8,NJC+NSC+OSBA
Durham Blues,,,,,8,Coalition
C.O.D.E. Academy,"Whitby, ON",NJC+OSBA,info@codeprep.ca,,7,NJC+OSBA
Hoopzone Knights,,,,,7,Coalition
Wiggins Elite,"GTA, ON",NJC+NPH-SL+NSC,IG @wiggins_elite,wiggins-elite,7,NJC+NPH+NSC
FEIA,"Fort Erie, ON",NPH-D1+NPH-SL+OSBA,info@feia.ca; 647-728-7840,,6,NPH
Lincoln Prep,Hamilton,NPH-D1+OSBA,admin@lincolnprep.ca,lincoln-prep,6,NPH+OSBA
Ottawa Elite (OYBA),"Ottawa, ON",NPH-D1+NPH-SL,Contact form; IG @ottawa_elite,ottawa-elite,6,NPH
Polaris Prep,Burlington,NPH-D1+OSBA,polarisprepacademy@gmail.com,polaris-prep,6,NPH+OSBA
SC Academy Prep,"Vaughan/Toronto, ON",NJC+NPH-D1+NPH-SL+NSC,info@sc-academy.ca,sc-academy,6,NJC+NPH+NSC
Tri-City Prep,"K-W-Cambridge/Guelph, ON",NJC+NPH-D1+OSBA,FB @tricitybasketball,,6,NJC+NPH+OSBA
Crestwood Prep,,,,,5,NPA+OSBA
Future Hope Academy,"Scarborough, ON",NJC+NPH-D1+OSBA,info@futurehopeacademy.com; 416-900-0102,,5,NJC+NPH-D1+OSBA
Hodan Prep,Vaughan (Thornhill),NPH-D1+OSBA,IG @hodanprep (**2025-26 is final season**),,5,NPH+OSBA
