club,city,contact_group,best_contact,census_systems,team_entries
Burloak Elite,"Burlington, ON",email+phone,info@burloakbasketball.com; 416-219-4939,Coalition+NPH,14
Royal Crown Academic School,"Scarborough, ON",email+phone,admissions@royalcrownschool.com; 416-519-0476,NPH+OSBA,12
St. Jude's Prep,Mississauga,email+phone,admissions@stjudesacademy.ca · 905-814-0277,NPH+OSBA,11
Toronto Lords,"Toronto, ON",email+phone,lordsbasketball@gmail.com; 416-598-4448,Coalition+NPH+NSC,11
Brampton City Prep,"Brampton (facility: Etobicoke), ON",email+phone,info@bramptoncityprep.com; 416-747-7208,NJC+NSC+OSBA,8
FEIA,"Fort Erie, ON",email+phone,info@feia.ca; 647-728-7840,NPH,6
Future Hope Academy,"Scarborough, ON",email+phone,info@futurehopeacademy.com; 416-900-0102,NJC+NPH-D1+OSBA,5
King Heights Academy,"Vaughan/Thornhill, ON",email+phone,info@kingheightsacademy.com; 905-652-1234,NPH+OSBA,5
Monarchs,"Mississauga, ON",email+phone,info@monarchsbasketball.ca; 905-502-0050,Coalition+NSC,5
PDM Basketball,"Oakville, ON",email+phone,admin@pdmbasketball.com; 647-637-3859,NPH,5
William Academy,"Toronto (Scarborough) + Cobourg, ON",email+phone,general@williamacademy.ca; 416-491-6888,NJC+NPH-D1+OSBA,5
CKATT Basketball,"Mississauga, ON",email+phone,info@CKATT.com; 416-346-6244,NJC+NPH,4
North York Lions (PBAA),"North York, ON",email+phone,info@pbaa.ca; 1-888-489-6441,NPH,4
Tall Pines Academy,Brampton,email+phone,info@tallpinesschool.com · 905-458-6770,NPH+OSBA,4
Brotherhood Elite,"GTA West/East + Ottawa, ON",email+phone,info@brotherhoodelite.ca; 647-545-0664,NPH+NSC,3
"Kings Court (JR Kings Court, probable)","Hamilton, ON",email+phone,jrkingscourtbasketball@gmail.com; 647-864-5104,NJC+NPH,3
Simcoe United Spartans,"Barrie/Simcoe County, ON",email+phone,info@simcoeunitedbasketball.com; 705-717-6449,NPH,3
St. Michael's College School,"Toronto, ON",email+phone,info@smcsmail.com; 416-653-3180,NPH+OSBA,3
Uchenna Academy,Toronto (950 Dupont),email+phone,info@uchenna.ca · 416-855-5572,NPH-D1+OSBA,3
Vanguard North Prep,"Vaughan, ON",email+phone,vanguardnorth29@gmail.com; 416-875-2733,NPH,3
Vaughan Panthers,"Vaughan (Woodbridge), ON",email+phone,info@vaughanbasketball.com; 905-370-0154,Coalition+NPH,3
CALI Prep Academy,"Pickering, ON",email+phone,contact@caliprepacademy.com; 833-937-4667,NJC+NSC,2
Eastern Basketball Academy,"Durham Region, ON",email+phone,info@easternbasketball.ca; 905-924-3137,NJC+NPH-SL,2
Inspire Academy (YAAACE),Toronto (North York),email+phone,info@yaaace.com · 416-567-7994,OSBA,2
J. Addison School,Markham,email+phone,info@jaddisonschool.com · 905-477-4999,OSBA,2
King's Christian Collegiate,Oakville,email+phone,office@kingschristian.ca · 905-257-5464,OSBA+WNPA,2
London Ramblers,"London, ON",email+phone,ramblercoach@gmail.com; 519-850-4318,NJC,2
Louis-Riel Academy (CEPEO),Ottawa (Gloucester),email+phone,louis-riel@cepeo.on.ca · 613-590-2233,OSBA,2
Orangeville Prep (Athlete Institute) — Varsity,"Mono/Orangeville, ON",email+phone,info@orangevilleprep.com; 519-940-3735,NPH-SL+NSC,2
Orangeville Prep / Varsity (Athlete Institute),Mono (Orangeville),email+phone,info@orangevilleprep.com · 519-940-3735,NPH-SL+NSC,2
Retro Elite (Retro Basketball Academy),"Oakville/Mississauga/Brampton, ON",email+phone,retrobasketballacademy@gmail.com; 647-904-3420,NPH,2
Ridley College,St. Catharines,email+phone,admissions@ridleycollege.com · 905-684-1889,NPA+OSBA,2
Ste Cecile Academy (Windsor),"Windsor, ON",email+phone,info@stececile.ca; 519-969-1291,NPH-D1+NSC,2
Top Notch Prep / TNP (Top Notch Stars),"Vaughan, ON",email+phone,info@topnotchstars.com; 647-689-2311,NJC,2
Westfield Prep / Westfield Secondary,"Toronto (North York), ON",email+phone,contact@westfieldeducation.ca; 416-613-0289,NJC+NSC,2
Ace Acumen Heights Academy,Toronto (Don Mills) + Brampton,email+phone,admissions@aahs.ca · 416-756-7227,OSBA,1
Burlington Force (Burlington Basketball),"Burlington, ON",email+phone,Operations@BurlingtonBasketball.ca; 905-220-3735,NPH-SL,1
Cambridge International Academy,Whitby (300 Water St),email+phone,info@cambridgeinternationalacademy.ca · 905-426-4254,OSBA,1
Dundas Dynamo,"Dundas (Hamilton), ON",email+phone,basketballdundas@gmail.com; 905-628-4966,NPH-SL,1
"Dynamic Basketball (DBDA, probable)","Toronto, ON",email+phone,dynamicbball@gmail.com; 416-994-1676,NSC,1
Elton Academy,"Richmond Hill, ON",email+phone,info@eltonacademy.ca; 905-731-0505,NSC,1
Gators Basketball Academy,"Markham/Richmond Hill/Durham, ON",email+phone,contactgatorsacademy@gmail.com; 647-206-3730,NSC,1
Grassroots Niagara (Blueprint),"Niagara Region, ON",email+phone,blueprint_training@hotmail.com; 905-714-5520,NPH-SL,1
M&R Basketball,"Markham/Ajax, ON",email+phone,info@mandrbasketball.ca; 647-927-7091,NSC,1
Oakville Panthers,"Oakville, ON",email+phone,chad@oakvillepanthers.com; 647-405-2423,NPH-SL,1
RSB Elite (RSB Association),"GTA, ON",email+phone,rsbelite@gmail.com; 289-981-0564,NJC,1
Strive Hoops,"London, ON",email+phone,strivehoopslondon@yahoo.com; 519-495-3989,NJC,1
TC Soldiers (Tri-County Soldiers),"K-W/Cambridge/Guelph, ON",email+phone,elopez@soldiersbasketball.ca; 519-498-2703,NPH-SL,1
Team Sanctuary (Sanctuary Sports),"Scarborough, ON",email+phone,contact@sanctuarysportcenter.ca; 416-826-3391,NJC,1
Toronto Top Tier,"Etobicoke, ON",email+phone,torontotoptierhoops@gmail.com; 416-708-3508,NPH-SL,1
Union Elite,"Ajax/Durham, ON",email+phone,info@unionelitebasketball.com; 647-963-5483,NPH-SL,1
Alpha Elite Sports Group,"Mississauga, ON",email+phone,contact@alphaelitesportsgroup.com; 647-618-9295,,
YASO Basketball Academy,"Oakville, ON",email+phone,yasobasketballacademy@gmail.com; 905-616-7342,,
YvY Elite (You vs You),"Waterloo/Kitchener/Guelph, ON",email only,yvybball@gmail.com; IG @yvyelitebasketball,Coalition+NPH,14
Dragons de Gatineau (Basketball Gatineau),"Gatineau, QC",email only,info@basketballgatineau.com,NPH,9
C.O.D.E. Academy,"Whitby, ON",email only,info@codeprep.ca,NJC+OSBA,7
Lincoln Prep,Hamilton,email only,admin@lincolnprep.ca,NPH+OSBA,6
Polaris Prep,Burlington,email only,polarisprepacademy@gmail.com,NPH+OSBA,6
SC Academy Prep,"Vaughan/Toronto, ON",email only,info@sc-academy.ca,NJC+NPH+NSC,6
West Ottawa Basketball Association,"Ottawa (Kanata/Stittsville), ON",email only,westottawabasketball@gmail.com,NPH,6
CE23 Academy,"Paradise, NL",email only,team@ce23basketball.com,NPH,4
Capital Courts Academy,"Ottawa (Orléans), ON",email only,info@capitalcourts.com,NPH-SL+OSBA,3
Niagara Prep (A.N. Myer SS),Niagara Falls,email only,info@niagaraprepbasketball.com,OSBA+WNPA,3
North Toronto Huskies (NTBA),"Toronto, ON",email only,NTBARegistrar@bell.net,Coalition+NPH,3
Blessed Sacrament CYO (Yellow Jackets),"Hamilton, ON",email only,blessedscyo@gmail.com,Coalition+NPH-SL,2
H5 Academy (High Five Foundation),Toronto (725 Bathurst),email only,h5academy@h5f.ca,OSBA,2
Malton Sting Basketball,"Mississauga (Malton), ON",email only,maltonsting.bc@gmail.com,NPH,2
Collective Elite Academy,"Brampton, ON",email only,info@thecollectiveelite.ca,NJC,1
DEl1te,"Winnipeg, MB (verify)",email only,delitewpg@gmail.com; IG @delite_mbb,NPH-SL,1
F.O.R.M. Basketball Academy,"Vancouver, BC",email only,coaches@formbasketball.com,NSC,1
GYBA Gryphons (Guelph Youth Basketball),"Guelph, ON",email only,administration@guelphbasketball.com,NPH-SL,1
Momentum Basketball (Momentum Sports Group),"Toronto (Don Mills), ON",email only,info@momentumsportsgroup.ca,NPH-SL,1
Norwood Stars,Unconfirmed (ON),email only,norwoodstarsbasketball@gmail.com (verify); IG @norwoodstars_basketball,NPH-SL,1
Orillia Lakers,"Orillia, ON",email only,vicepresident@orillialakers.com,NPH-SL,1
RWI519 (RUN WITH It Basketball),SW Ontario (519),email only,rwibasketball@gmail.com; IG @rwi519,NJC,1
Team Thetford (Atelier 803),"Thetford Mines, QC",email only,info@atelier803.ca,NSC,1
Tornades Basketball (likely Longueuil — verify),"Longueuil, QC",email only,tornadesbasketball@gmail.com,NPH-SL,1
Triple Balance,"Scarborough + Durham, ON",email only,Info@triplebalance.ca,NSC,1
UEWB (Unite Everyone With Basketball),"GTA, ON",email only,uewbcanada@gmail.com; IG @uewbcanada,NJC,1
Brantford CYO Hawks,"Brantford, ON",email only,brantfordcyoboys@gmail.com,,
HQ Prep / HQ Elite Canada,"Hamilton, ON",email only,HQelitecanada1@gmail.com,,
K9 Elite Hoopers,"GTA, ON",email only,infok9elite@gmail.com; IG @K9Elitehoopers,,
SBA Premier (Scarborough Basketball Association),"Scarborough, ON",phone only,416-551-7554; contact form,Coalition+NJC+NSC,20
Eurostep Basketball,"Etobicoke, ON",phone only,647-879-8344; form (55 Horner Ave),Coalition+NPH,13
Crestwood Preparatory College (+ Blue),Toronto (North York),phone only,416-391-1441,NPA+OSBA,5
"MBA (likely MUMBA, Markham — verify)","Markham, ON",phone only,647-945-6945,NPH,4
Lo-Ellen Park Prep,Sudbury,phone only,705-522-2320 · X @LEPPrep,OSBA,2
Project Excellence,"Scarborough, ON",phone only,647-705-0217; inquiry form,NJC+NSC,2
Wolverines Elite (Waterloo Wolverines),"Kitchener-Waterloo, ON",phone only,519-574-4493,NJC+NSC,2
