club,city,website,email,phone,leader,social
AAA Academy (Triple AAA BA),Mississauga ON,tripleaaa.ca,coach@tripleaaa.ca,647-825-2357,Adrian Cooper (Founder/HC),IG @tripleaaa.ca
Académie d'Alma (Alma Prep),Alma QC,collegealma.ca,eric.benoit@collegealma.ca,418-668-2387,David Petroziello (HC),
Against The Six Prep (ATS),Toronto/GTA ON,,,,,IG @atsprep
Alpha Elite Sports Group,Toronto ON,alphaelitesportsgroup.com,contact@alphaelitesportsgroup.com,,Arham Gul (Founder),IG @alphaelitesportsgroup
Athol Murray College / Notre Dame Hounds,Wilcox SK,notredame.ca,info@notredame.ca,306-732-2080,Marc Ffrench (W coach),FB @notredamehounds
B1CE London (Become One Canada Elite),London ON,,,,Efrem Hasebenebi (HC),IG @b1cewbb
BALL905 Youth Foundation,Mississauga/Brampton ON,ball905.com (⚠ ball905rep.com HIJACKED-gambling),register@ball905.com,,,IG @ball905rep
Barrie Buccaneers BC,Barrie ON,barriebuccaneers.com,info@barriebuccaneers.com,,Ryan Miltimore/Adrian Rodriguez (Co-Pres); Claudia Moreno (GM),IG @barriebuccaneers
Barrie Royals BC,Barrie ON,barrieroyals.ca,info@barrieroyals.ca; VP@barrieroyals.ca,,Keith Macey (VP); Andrea Hawn (Sec),FB /thebarrieroyals
Blessed Sacrament BC (Yellow Jackets),HAMILTON ON (not Toronto),blessedsacramentbasketball.ca,,905-389-7834,John Rocchi (Pres),IG @bsyjbasketball
Born 2 Stand Out (BTSO),Toronto/North York ON,,,,Justin Fields (Founder/CEO),IG @borntostandout_elite
Brampton City Prep (BCP),Etobicoke ON,bramptoncityprep.com,info@bramptoncityprep.com,416-747-7208,,IG @officialbramptoncityprep
Brampton Warriors (Brampton Minor BA),Brampton ON,bramptonbasketball.com,info@bramptonbasketball.com,905-455-5277,,IG @bramptonbasketball
Brantford Boys CYO (Hawks),Brantford ON,brantfordcyo.ca,cyohawks@gmail.com; brantfordcyoboys@gmail.com,,,IG @cyoboysbasketball
Burlington Hoops Academy,Burlington/Oakville ON,burlingtonhoopsacademy.com (down),,905-582-1547,,IG @burlingtonhoopsacademy
Canada Topflight Academy (Tony House's club),Ottawa ON,canadatopflight.com,Thouse@canadatopflight.com,613-797-2089,Tony House (Founder/HC),X @CanadaTopflight
Canadian Private School,UNRESOLVED,,,,,
Cathedral HS (Gaels),Hamilton ON,chs.hwcdsb.ca,,905-522-3581,,X @cathedralgaels
CB Elite (Québec AAU),Montreal QC,cbelite.ca,shawn@vidasana.ca,514-918-9906,Shawn Bowen (Program Dir/HC),IG @cb.elite
Central Canada Prep (Winnipeg Sport Inst),Winnipeg MB,winnipegsportinstitute.com,info@winnipegsportinstitute.com; nicholas@,,Nicholas Lother (Program Dir),
City Above Elite,Vaughan/North York ON,,,,,IG @cityaboveelite
Collège Saint-Jean-Vianney (CSJV Prep),Montreal QC,csjv.ca,college@csjv.ca; admission@csjv.ca,514-648-3821,(school),FB /CSJVBasketball
Colts Prep,Markham/Unionville ON,coltsprep.com,info@coltsprep.com,,Jey-son Edwards (Program Director),IG @coltsprepwbb
Compass Academy,NON-MATCH (NJ program only),,,,,
Cooksville We>Me 2030,Mississauga ON,,,,,IG @cooksville2030
Downtowns Finest (DFA),Toronto ON,downtownsfinest.ca,info@downtownsfinest.ca; dfabasketball@gmail.com,416-458-7100,,IG @dfa_basketball
Dropoff Elite,Montreal QC,,,,"Basil Rose (Dir, unverified)",IG @dropoffelite
Durham Blues (Durham Basketball Assn),Durham Region ON,durhambluesbasketball.com,durhambluesball@gmail.com,,,IG @durhambluesbasketball
Durham Gators Basketball,Durham Region ON,durhamgators.leagueapps.com,,,,
Durham Rising Suns,Oshawa/Durham ON,drisingsuns.com,info@drisingsuns.com,647-988-6466,,IG @drisingsuns
East York Basketball Club (Eagles),Toronto (East York) ON,eastyorkbasketball.com,info@eastyorkbasketball.com,,,IG @eastyorkbasketball
Edge School (Edge Varsity/Prep),Calgary AB,edgeschool.com,info@edgeschool.com; erichardson@edgeschool.com,403-246-6432,Eddie Richardson III (Basketball Director),FB /edgeschool
EM Elite,UNRESOLVED,,,,,
Etobicoke Thunder (EBA),Etobicoke ON,etobicokebasketball.com,(bot-blocked),647-238-2690,"Ray Chateau (Pres, dated)",IG @eba_thunder
Father Henry Carr CSS (TCDSB),Toronto (Rexdale) ON,tcdsb.org/o/fatherhenrycarr,,416-393-5521,"Richard Walo (Principal, unverified)",IG @fhc_tcdsb
First Step Elite (FSE),Kitchener-Waterloo ON,,(DM),,Jermaine Lyle (Founder),IG @firstepbball
Fitz Youth,UNRESOLVED,,,,,
Fort Erie International Academy (FEIA),Fort Erie ON,feia.ca,info@feia.ca; admissions@feia.ca,647-728-7840,William Cockburn (Principal); Paul Liu (Dir),X @forteriembb
Full Circle Basketball Academy,Courtice (Durham) ON,fullcirclebasketballacademy.com,,,Dwayne Sybbliss (Founder/HC),IG @fcbasketballacademy
Fundamentals First BA,Burlington/Halton ON,fundamentalsfirstba.com,(form only),,"Wesley Fluellen ""Coach Wes"" (Founder)",IG @da_flu_
G2S Game Changers,North York/GTA ON,,,,,IG @g2s_gamechangers
Gators Basketball Academy (Markham Gators),Markham ON,gatorsbasketballacademy.com,markhamgators@yahoo.com,647-206-3730,Teran Richards (Pres); Ken Szeto (Dir Markham Rep),IG (site)
GBU (Gwillimbury United),E/W Gwillimbury-Newmarket ON,gbunited.ca,,,,IG @gbuclub
GT Elite BC,GTA/Toronto ON,,,,,IG @gtelite_basketball
Gwillimbury United (GBU),E/W Gwillimbury-Newmarket ON,gbunited.ca,,,"""Coach Mike""",IG @gbuclub
Hamilton Elite Team,Hamilton ON,,,,,IG @hamiltoneliteteam
Hamilton Transformation Academy,Hamilton ON,,,,,IG @htabasketball
Hodan Prep (final season 2025-26),Vaughan/Thornhill ON,,cgymno@hotmail.com,,Gus Gymnopoulos (HC),IG @hodanprep
HoopHer Elite,Vaughan/GTA ON,hoopherelite.com,,,Jey-son Edwards (Founder/HC),LinkedIn /jeyedwards
Hooptrotters (OGs/5Gs),GTA (North York) ON,,,,,(YouTube)
Hoopzone Knights,North York ON,hoopzone.ca,,,Nima Sanjari (Founder),IG @hoopzonebasketball
HQ Prep / HQ Elite (HQ Canada),Hamilton ON,hqcanada.net,HQelitecanada1@gmail.com,,Marquell Fraser (Founder/Dir),IG @hqelitecanada
iDream by Brian Owusu Academy (BOA),Toronto ON,brianowusuacademy.com,brianowusuacademy@gmail.com,647-215-9018,Brian Owusu (Founder),IG @idream_by_boa
Ignite Academy,UNRESOLVED,,,,,
Institut de Sport Dynastie,Montreal/Laval QC,,,,Alexandre Victor / Woodwendy Séraphin / Bachir Outtara (founders),IG @prep.dynastie
James Cardinal McGuigan CHS (Wolfpact),North York ON,tcdsb.org/o/jamescardinalmcguigan,,416-393-5527,Steven Korn (HC),IG @jcmprep
JCC Maccabi Warriors,Toronto ON,jccwarriors.com,info@jccwarriors.com,416-635-5516,Sean Katzoti (Tech Dir); Eric Sklar (Sr Dir),FB /jccmaccabiwarriors
JUMP Basketball,Mississauga ON,jumpbasketball.ca,Support@JumpBasketball.ca,647-549-5867,Eric Scoffield/Rishi Oberoi (Co-Founders),LinkedIn /jump-basketball
Jungle Prep (Jungle Courts),Pickering ON,junglecourts.com,info@junglecourts.com,,,IG @jungleprepbasketball
K-W Vipers (KWYBA),Kitchener-Waterloo ON,kwyba.com,coachqwlu@hotmail.com,519-804-8935 x102,Mike Quigley (Exec Admin); John Illingworth (Pres),X @kwvipers
K9 Elite Hoopers,GTA ON,,infok9elite@gmail.com (unverified),,,IG @k9elitehoopers
Kingston Impact BC,Kingston ON,kingstonimpact.ca,info@kingstonimpact.ca; president@kingstonimpact.ca,,(registrar Gillian De Melo),IG @kingston_impact
Lead2Greatness,GTA ON,,,,,IG @lead2greatness
London Basketball Academy (LBA Prep),London ON,londonbasketballacademy.ca,londonbasketballacademy@gmail.com,519-318-3303,Judy Provenzano (Owner/Dir); Angelo Provenzano (HC),IG @lba_prep
M & R Basketball,Markham ON,mandrbasketball.ca,info@mandrbasketball.ca,647-927-7091,David Reaume/Roy Singh/Tracy Richardson (co-founders),IG @mandrbasketball
MC Elite Basketball,Toronto ON,mcelite.clubcentral.com,,,,IG @mcelitebball
Milton Stags BC,Milton ON,miltonstags.com,inquiry@miltonstags.com,289-429-1114,(volunteer board),IG @miltonstagsball
"MUMBA (Markham Unionville Minor BA) — ""MUMBA Mentality""/MBA prep",Markham ON,mumbabasketball.ca,basil@mumbabasketball.ca,647-945-6945,"Michael Sousa (Pres); Samuel Wiseman (GM, MBA Prep); Basil Glezakos (Dir Membership)",IG @mumbabasketball
North Bay Spartans BC,North Bay ON,spartansbasketball.ca,Spartansbasketballnorthbay@gmail.com,,,IG @spartansbasketballnorthbay
North Toronto BA (NTBA),Toronto ON,ntbasketball.com,NTBARegistrar@bell.net,416-481-1555,Chris Easton (Pres); Ron Campbell (Registrar),site only
NRBA (Niagara Regional BA),Niagara ON,,(league),,,
NSE Select Academy,UNRESOLVED,,,,,
Oakville Vytis,Oakville ON,vytis.ca,(contact form),,Vic Juzenas (Founder),IG @oakvillevytis
ONL-X (Ottawa Next Level),Ottawa (Kanata) ON,onlxbasketball.com,(via kanatabasketball.ca),,David DeAveiro (Founder),IG @onlx_basketball
Ontario Elite Basketball,Ajax ON,ontarioelite.com,play@ontarioelite.com,437-562-1901,,IG (linked)
Ottawa Capitals JUEL,Ottawa ON,ottawacapitalsjuel.com,capitalregionjuel@gmail.com,,Dean Petridis (Dir. Basketball Ops),IG @ottawacapitalsjuel
Ottawa Elite (OYBA),Ottawa ON,ottawaelite.org,OYBAOttawaElite@gmail.com,,(Board),IG @ottawa_elite
Ottawa Prospects,Ottawa ON,,,,,IG @ottawaprospects
Pelham Panthers BA,Pelham/Welland ON,pelhambasketball.ca,ppba.registrar@gmail.com; niagarajuelbasketball@gmail.com,905-732-7655,Andrea Hurley (Registrar),FB Pelham Panthers Basketball
Prolific Sports Academy (PSA Prep),Calgary AB,prolificsportsacademy.com,Team@prolificsportsacademy.com,,,
