club,league,entry_detail
506 Elite Jr Academy,NJC,506 Elite Jr Academy
Against The Six Prep,NJC,Against The Six Prep
Alpha Elite,NJC,Alpha Elite
Brampton City Prep,NJC,BCP North
Brampton City Prep,NJC,BCP South
Brampton City Prep,NSC,BCP Regional
Brotherhood Elite,NSC,Brotherhood Elite
C.O.D.E Academy,NJC,C.O.D.E Academy
Cali Prep,NJC,Cali Prep Red
Cali Prep,NSC,CALI Prep
Canada Topflight Academy,NJC,Canada Topflight Academy
City Above Elite,NJC,City Above Elite
CKATT,NJC,CKATT 2010
Collective Elite Academy,NJC,Collective Elite Academy
Compass Academy,NJC,Compass Junior Academy
Compass Academy,NSC,Compass Senior Academy
Cooksville We>Me,NJC,Cooksville We>Me 2030
Dynamic Basketball,NSC,Dynamic Basketball
Eastern Basketball Academy,NJC,Eastern Basketball Academy
Elton Academy,NSC,Elton Academy
F.O.R.M. Basketball Academy,NSC,F.O.R.M. Team Gold (National)
Full Circle Basketball Academy,NJC,Full Circle Basketball Academy
Full Circle Basketball Academy,NSC,Full Circle Basketball Academy
Future Hope Academy,NJC,Future Hope Academy
G2S Game Changers,NJC,G2S Game Changers
Gators Basketball Academy,NSC,Gators Basketball Academy
GBU,NSC,GBU
HQ Prep,NJC,HQ Prep Black
HQ Prep,NJC,HQ Prep Grey
Ignite Academy,NJC,Ignite Academy
Jungle Prep,NJC,Jungle Prep
Jungle Prep,NSC,Jungle Prep (Regional)
Kings Court Academy,NJC,Kings Court Academy
LBA,NJC,LBA JR Provincial
LBA,NSC,LBA SR Provincial
London Ramblers,NJC,Ramblers Blue (U15/U16)
London Ramblers,NJC,Ramblers Red (U16)
M&R Basketball,NSC,M&R Basketball
Monarchs,NSC,Monarchs
NSE Select Academy,NJC,NSE Select Academy
ONL-X,NJC,ONL-X Junior
ONL-X,NSC,ONL-X RISE
Orangeville Prep,NSC,Orangeville Prep Varsity
Project Excellence,NJC,Project excellence
Project Excellence,NSC,Project excellence
RSB Elite,NJC,RSB Elite
RWI519,NJC,RWI519
SBA Premier,NJC,SBA Premier Blue
SBA Premier,NSC,SBA Premier
SC Academy Prep,NJC,SC Academy Prep
SC Academy Prep,NSC,SC Academy Prep
SC Academy Prep,NSC,SC Academy Prep Black
SCI Spartans,NJC,SCI Spartans
Simcoe United,NJC,Gr 9
Simcoe United,NJC,Gr 10
Simcoe United,NSC,Gr 11
Simcoe United,NSC,Gr 12
SSF Blizzard,NJC,SSF Blizzard
SSF Blizzard,NJC,SSF Blizzard White
SSF Blizzard,NSC,SSF Blizzard
Ste Cecile Academy,NSC,Ste Cecile Academy
Strive Hoops,NJC,Strive Hoops
Team Sanctuary,NJC,Team Sanctuary
Team Thetford,NSC,Team Thetford
Top Left,NJC,Top Left
Top Notch Prep,NJC,TNP JVR
Top Notch Prep,NJC,TNP Rusty
Toronto Lords,NSC,Toronto Lords Senior Prep Academy
Tri-City Prep,NJC,Tri-City Prep
Triple Balance,NSC,Triple Balance-Courtenay/Nick
Tru Balance,NJC,Tru Balance
UEWB,NJC,UEWB
Vanguard (North),NJC,Vanguard Junior Prep
Vanguard (North),NSC,Vanguard North U17
Vanguard (North),NSC,Vanguard North Sr Prep
Westfield Prep,NJC,Westfield prep
Westfield Prep,NSC,Westfield prep
Wiggins Elite,NJC,G10 Prep A
Wiggins Elite,NJC,G10 Prep B
Wiggins Elite,NSC,G11 Prep
William Academy,NJC,William Academy
Wolverines Elite,NJC,Wolverines Elite
Wolverines Elite,NSC,Wolverines Elite Sr
Dragons de Gatineau,NPH-SL,Gr8
Dragons de Gatineau,NPH-SL,"Gr9 (ARETE, PRIME)"
Dragons de Gatineau,NPH-SL,"Gr9 (ARETE, PRIME)"
Dragons de Gatineau,NPH-SL,"Gr10 (DMV, GS)"
Dragons de Gatineau,NPH-SL,"Gr10 (DMV, GS)"
Dragons de Gatineau,NPH-SL,Gr11 (ARETE)
Dragons de Gatineau,NPH-SL,JrGirls
Dragons de Gatineau,NPH-SL,JrGirls
Dragons de Gatineau,NPH-D1,D1 SrG
Royal Crown,NPH-SL,Gr9 (PRIME)
Royal Crown,NPH-SL,Gr10 (PRIME)
Royal Crown,NPH-SL,SL JrGirls
Royal Crown,NPH-D1,D1 JrG
Royal Crown,NPH-D1,D1 SrG
Royal Crown,NPH-D1,D1 Scholastic
Royal Crown,NPA,NPA
Royal Crown,WNPA,WNPA
FEIA (Fort Erie),NPH-SL,Gr10 (ARETE)
FEIA (Fort Erie),NPH-D1,D1 JrG
FEIA (Fort Erie),NPH-D1,D1 SrG (FEIA Red)
FEIA (Fort Erie),NPH-D1,D1 Scholastic (Fort Erie Prep)
FEIA (Fort Erie),NPA,NPA
FEIA (Fort Erie),WNPA,WNPA
Ottawa Elite (incl. Prep),NPH-SL,Gr7
Ottawa Elite (incl. Prep),NPH-SL,Gr8
Ottawa Elite (incl. Prep),NPH-SL,Gr10 (PRIME)
Ottawa Elite (incl. Prep),NPH-SL,Gr11 (DMV)
Ottawa Elite (incl. Prep),NPH-D1,"D1 Academy (Black, Gold)"
Ottawa Elite (incl. Prep),NPH-D1,"D1 Academy (Black, Gold)"
St. Jude's Prep/Academy,NPH-D1,D1 JrG
St. Jude's Prep/Academy,NPH-D1,D1 JrB
St. Jude's Prep/Academy,NPH-D1,"D1 Scholastic (Blue, White)"
St. Jude's Prep/Academy,NPH-D1,"D1 Scholastic (Blue, White)"
St. Jude's Prep/Academy,NPA,NPA
St. Jude's Prep/Academy,WNPA,WNPA
PDM Basketball,NPH-SL,Gr7
PDM Basketball,NPH-SL,Gr8
