club,city,leagues,n_leagues,contact,tenant
Brampton City Prep,"Brampton (facility: Etobicoke), ON",NJC+NPH-D1+NSC+OSBA,4,info@bramptoncityprep.com; 416-747-7208,brampton-city-prep
Monarchs,"Mississauga, ON",Coalition+NPH-SL+NSC+OBL,4,info@monarchsbasketball.ca; 905-502-0050,monarchs-basketball-rep-aau
ONL-X (Ottawa Next Level),"Ottawa, ON",NJC+NPH-D1+NPH-SL+NSC,4,IG @onlx_basketball,onl-x-basketball
SC Academy Prep,"Vaughan/Toronto, ON",NJC+NPH-D1+NPH-SL+NSC,4,info@sc-academy.ca,sc-academy
Westfield Prep / Westfield Secondary,"Toronto (North York), ON",NJC+NPH-D1+NPH-SL+NSC,4,contact@westfieldeducation.ca; 416-613-0289,
FEIA,"Fort Erie, ON",NPH-D1+NPH-SL+OSBA,3,info@feia.ca; 647-728-7840,
Full Circle Basketball Academy,"Courtice (Durham), ON",NJC+NSC+OSBA,3,X @FCBasketballAc1,
Future Hope Academy,"Scarborough, ON",NJC+NPH-D1+OSBA,3,info@futurehopeacademy.com; 416-900-0102,
Royal Crown Academic School,"Scarborough, ON",NPH-D1+NPH-SL+OSBA,3,admissions@royalcrownschool.com; 416-519-0476,royal-crown-school
Simcoe United Spartans,"Barrie/Simcoe County, ON",NJC+NPH-SL+NSC,3,info@simcoeunitedbasketball.com; 705-717-6449,simcoe-united
St. Michael's College School,"Toronto, ON",NPH-D1+NPH-SL+OSBA,3,info@smcsmail.com; 416-653-3180,
Top Notch Prep / TNP (Top Notch Stars),"Vaughan, ON",NJC+NPH-D1+NPH-SL,3,info@topnotchstars.com; 647-689-2311,
Toronto Lords,"Toronto, ON",NPH-D1+NPH-SL+NSC,3,lordsbasketball@gmail.com; 416-598-4448,toronto-lords-basketball
Tri-City Prep,"K-W-Cambridge/Guelph, ON",NJC+NPH-D1+OSBA,3,FB @tricitybasketball,
Vanguard North Prep,"Vaughan, ON",NJC+NPH-SL+NSC,3,vanguardnorth29@gmail.com; 416-875-2733,vanguard-north
Vaughan Panthers,"Vaughan (Woodbridge), ON",Coalition+NPH-SL+OBL,3,info@vaughanbasketball.com; 905-370-0154,vaughan-panthers
Wiggins Elite,"GTA, ON",NJC+NPH-SL+NSC,3,IG @wiggins_elite,wiggins-elite
William Academy,"Toronto (Scarborough) + Cobourg, ON",NJC+NPH-D1+OSBA,3,general@williamacademy.ca; 416-491-6888,
Wolverines Elite (Waterloo Wolverines),"Kitchener-Waterloo, ON",NJC+NPH-SL+NSC,3,519-574-4493,
YNBA,Aurora-Newmarket,Coalition+JUEL+OBL,3,,
Against The Six Prep,"Toronto, ON",NJC+NPH-SL,2,IG @atsprep,against-the-six-prep
Alpha Elite Sports Group,"Mississauga, ON",NJC+NPH-SL,2,contact@alphaelitesportsgroup.com; 647-618-9295,alpha-elite
